SegmentID	Audience	Q1	Q2	Q3	Q4
S027	SmallGroup	Which details communicate God’s desire to dwell?	What do beauty, order, and skill suggest about worship and work?	Where could excellence honor God in your craft or setting?	What quality step will you take this week?
S028	SmallGroup	What responsibilities and boundaries are given leaders?	What does holiness look like in ordinary practice?	Where do you need clearer boundaries to serve well?	What one boundary will you reinforce this week?
S029	SmallGroup	Which practices are highlighted?	What do they show about presence, prayer, and rest?	Where are you thin on unhurried time with God or family?	What specific rest or prayer space will you schedule this week?
S030	SmallGroup	What led people toward the calf?	What does Moses’ prayer reveal about leadership and mercy?	What modern idols compete for our trust?	What swap will you make this week to put God first?
S031	SmallGroup	How do the people respond to the call to build?	What do generosity and skill reveal here?	Where could you offer time, talent, or resources for a shared good?	What contribution will you make this week?
S032	SmallGroup	What completes the work in the passage?	What does God’s presence mean for a community?	Where do you need to slow down to notice God?	What practice will you add daily to honor God’s presence?
S033	SmallGroup	Which offerings stand out?	What do they reveal about sin, gratitude, and approach to God?	How might confession and thanksgiving recalibrate your week?	What confession and thanks practice will you set this week?
S034	SmallGroup	What rhythms of offering appear?	What do they suggest about everyday life with God?	Where could even routine acts become worship?	What daily habit will you dedicate to God this week?
S035	SmallGroup	What preparation steps are emphasized?	What does this reveal about readiness and responsibility?	Where do you need to prepare before you serve or lead?	What prep step will you take before your next responsibility?
S036	SmallGroup	What distinctions are made in this section?	What values about health, holiness, and care appear?	How could wise limits help your body, mind, and community?	What one health habit will you commit to this week?
S037	SmallGroup	What repeated patterns do you notice?	What does attention to detail protect in a community?	Where are small compromises weakening your impact?	What small safeguard will you set this week?
S038	SmallGroup	What images communicate atonement?	What does this reveal about access to God and forgiveness?	How does forgiven living change relationships?	What step of reconciliation will you take this week?
S039	SmallGroup	Which commands or warnings are emphasized?	What do they show about holiness and distinct living?	Where are you called to distinct living for God?	What behavior will you put into practice this week?
S040	SmallGroup	What expectations are placed on leaders?	What does this reveal about example and influence?	Where do you have influence that calls for integrity?	What example will you set intentionally this week?
S041	SmallGroup	Which rhythms or festivals are described?	What does shared remembrance reveal about God’s people?	What weekly rhythm would strengthen your discipleship?	What recurring reminder or gathering will you put on the calendar this week?
S042	SmallGroup	What practices of rest and release appear?	What do they teach about trust, justice, and mercy?	Where do you need to release overwork, grudges, or control?	What specific rest/reset action will you take this week?
S043	SmallGroup	What outcomes are contrasted?	What does this show about the trajectory of a life?	Where are your current decisions steering you?	What course correction will you implement today?
S044	SmallGroup	What purposes are served by the census?	What does ordered preparation reveal about trust and mission?	Where do you need structure to support your calling?	What one organizing step will you complete before the weekend?
S045	SmallGroup	What unique role is assigned to the Levites?	What does set-apart service look like today?	Where might you be called to steady, unseen service?	What service commitment will you accept or renew this week?
S046	SmallGroup	What consecration practices stand out?	What do they show about living under God’s blessing?	Which habit, if dedicated to God, would shift your week?	What habit will you dedicate and track daily this week?
S047	SmallGroup	What preparations and celebrations occur?	What do they teach about starting well with God?	Where do you need to prepare rather than rush?	What first preparation step will you complete by a set time tomorrow?
S048	SmallGroup	Where do complaint and care appear in tension?	What does this reveal about trust and contentment?	Where do you default to complaint under stress?	What replacement practice will you use this week?
S049	SmallGroup	What reports and reactions shape the outcome?	What do fear and faith look like here?	Where is fear narrowing your vision at work or home?	What faith-aligned step will you take this week?
S050	SmallGroup	What sparked the rebellion and how did it unfold?	What does this reveal about pride, authority, and humility?	Where do you resist healthy guidance that could grow you?	What humble action will you take to receive correction this week?
S051	SmallGroup	Which provisions and wins are highlighted?	What does this show about God’s care in hard places?	Where have you seen small wins you need to acknowledge?	What gratitude or testimony will you share with someone this week?
S052	SmallGroup	What tensions in motive and message do you see?	What does this suggest about integrity under pressure?	Where could mixed motives be steering you?	What boundary or confession step will you take this week?
S053	SmallGroup	What shifts or purposes surface in the second count?	What does it say about readiness across generations?	Where can you invest in someone younger or newer?	What mentoring step will you schedule this week?
S054	SmallGroup	What commitments and rhythms are described?	What does the text teach about words and follow-through?	Where do your words need alignment with actions?	What commitment will you keep and report back next week?
S055	SmallGroup	What lessons emerge from travel and conflict notes?	What do you learn about perseverance and guidance?	Where do you need steady perseverance in a current assignment?	What daily step will you take this week?
S056	SmallGroup	What instructions and boundaries are given?	What does this model about wisdom and planning?	Where do you need clearer boundaries to thrive?	What boundary will you write down and communicate this week?
S057	SmallGroup	What memories are reviewed and why?	What does remembering do for identity and obedience?	Which story of God’s help do you need to rehearse?	What practice will you use to remember and share it this week?
S058	SmallGroup	What calls to listen and respond stand out?	What does hearing that leads to doing look like here?	Where do you delay obedience while over-analyzing?	What act of obedience will you do within 48 hours?
S059	SmallGroup	Which covenant themes are central here?	What do they reveal about love, loyalty, and worship?	How could covenant love reshape one strained relationship?	What practical act of loyal love will you do this week?
S060	SmallGroup	What outcomes of obedience are described?	What does the text show about witness among the nations?	Where could your everyday choices point others to God?	What visible, humble good work will you do this week?
S081	SmallGroup	What stands out about vows and speech?	What are the risks of rash promises in relationships?	Where do your words need greater wisdom?	What speaking limit will you use this week?
S082	SmallGroup	What strengths and vulnerabilities define Samson?	What does this teach about calling and compromise?	Where are you strong yet prone to drift?	What safeguard will you set this week?
S083	SmallGroup	Which scenes display moral confusion?	What does life look like without a true guide?	Where do you see moral relativism shaping culture?	What guiding truth will you hold to this week?
S084	SmallGroup	What further examples deepen the concern?	What does this say about justice and communal harm?	Where could you be a protective presence?	What protective step will you take this week?
S085	SmallGroup	Which choices mark loyal love?	What do their actions model for workplace and family?	Where could loyal kindness shift a tense situation?	What concrete kindness will you show this week?
S086	SmallGroup	What signs show God's presence with Samuel?	What does listening and responding look like?	Where do you need to make space to hear?	What listening practice will you try daily this week?
S087	SmallGroup	What reasons do people give for wanting a king?	What does this reveal about comparison and trust?	Where do you feel pressured to copy others?	What counter-cultural choice will you make this week?
S088	SmallGroup	What moments mark Saul's start?	What do humility and calling look like here?	Where could humility strengthen your leadership?	What humble practice will you choose this week?
S089	SmallGroup	What choices display folly under pressure?	What does this teach about impatience and image?	Where do deadlines drive poor decisions?	What pause habit will you insert before decisions?
S090	SmallGroup	What contrasts appear between Saul and David?	What does "God looks at the heart" mean for leadership?	Where are you tempted to value surface over substance?	What heart-level practice will you do this week?
S091	SmallGroup	Which moments of courage or fear stand out?	What does God value in a leader here?	Where do you face an oversized challenge?	What specific step of faith will you take this week?
S092	SmallGroup	What tensions shape these relationships?	What does this reveal about loyalty and envy?	Where could loyal friendship push back against jealousy?	What tangible act of loyalty will you show this week?
S093	SmallGroup	Which choices does David make under pressure?	What do they show about wisdom and dependence?	Where do you need wisdom before reacting?	What pause-then-act practice will you use this week?
S094	SmallGroup	Where is David tempted to get even?	What does his restraint teach about honor?	Where could restraint break escalation?	What gracious response will you choose this week?
S095	SmallGroup	What contrasts appear between Saul and David?	What does this show about seeking God versus quick fixes?	Where are shortcuts tempting you?	What seek-God-first step will you build in this week?
S096	SmallGroup	What marks David's lament?	What does lament teach about leadership and grief?	Where do you need room to grieve well?	What practice of lament will you do this week?
S097	SmallGroup	What steps move David from waiting to kingship?	What does this show about timing and patience?	Where is waiting shaping your character?	What faithful habit will you maintain this week?
S098	SmallGroup	Which promises are central here?	What do they reveal about God's kingdom?	How could promise-based hope steady you?	What hope reminder will you rehearse daily?
S099	SmallGroup	What victories are highlighted?	What safeguards keep success God-centered?	Where do you need to credit God rather than self?	What gratitude action will you do after a win?
S100	SmallGroup	What early warning signs lead to failure?	What does this show about sin and consequence?	Where could a small compromise grow?	What guardrail will you set before week's end?
S101	SmallGroup	What seeds of division start to appear?	What does this reveal about flattery and influence?	Where do subtle power plays show up?	What truth-in-love step will you take this week?
S102	SmallGroup	Which decisions escalate the conflict?	What do you observe about counsel and pride?	Whose wise voice should you invite?	What concrete step will you take to seek counsel?
S103	SmallGroup	What actions move toward restoration?	What balance of mercy and justice appears?	Where is restoration needed in your relationships?	What first repair step will you take this week?
S104	SmallGroup	What highs and lows mark this period?	What does finishing with humility look like?	Where do end-of-season choices matter most?	What finish-well action will you complete this week?
S105	SmallGroup	What challenges surround the transition?	What does a wise beginning look like?	Where are you entering new responsibility?	What first wisdom step will you take this week?
S106	SmallGroup	What request defines Solomon's start?	What does God's response value in leadership?	Where do you most need discernment?	What daily practice will you adopt for wisdom?
S107	SmallGroup	What effort and skill stand out?	What does excellence in worship communicate?	Where could quality honor God in your craft?	What quality-improvement step will you take?
S108	SmallGroup	What themes surface in the dedication?	What does God's presence mean for community?	Where could you dedicate a space to God?	What brief dedication prayer will you offer?
S109	SmallGroup	What turned Solomon's heart over time?	What warnings about drift appear?	Where might comfort be dulling devotion?	What course-correction will you make and share?
S110	SmallGroup	What words and choices trigger the split?	What do you learn about listening and pride?	Where could stubborn speech divide your team?	What listening step will you practice this week?
S111	SmallGroup	What patterns repeat across these reigns?	What do they reveal about legacy?	Which pattern do you want to avoid?	What single practice will you adopt this week?
S112	SmallGroup	What confrontations strike you?	What does this reveal about loyalty?	Where do competing loyalties pressure you?	What concrete step toward faithfulness will you take?
S113	SmallGroup	What highs and lows does Elijah experience?	How does God meet him in weakness?	Where do you feel depleted now?	What rest or obedience step will you schedule?
S114	SmallGroup	What injustices appear?	What does God signal about truth and authority?	Where do you see misuse of power?	What courageous, careful step will you take?
S115	SmallGroup	Which alliances stand out?	What do they reveal about partnership?	Where do your alliances shape your faith?	What boundary or alignment step will you take?
S116	SmallGroup	Which personal stories moved you?	What do you observe about God's care?	Who near you needs concrete help?	What specific act of care will you offer?
S117	SmallGroup	What international tensions appear?	What does this show about God's reach?	Who is outside your usual networks?	What one step toward them will you take?
S118	SmallGroup	What judgments and reforms unfold?	What do you learn about zeal and motives?	Where do you need zeal guided by wisdom?	What focused good will you do with boundaries?
S119	SmallGroup	What threats and rescues mark this era?	What does this say about protection?	What has God entrusted to you?	What protection measure will you implement?
S120	SmallGroup	What mixed records do you see?	What does partial obedience produce?	Where do you stop short?	What completion step will you take and report?
S121	SmallGroup	What choices lead toward decline?	What warnings about idolatry appear?	Where do lesser loves pull your heart?	What re-centering practice will you implement?
S122	SmallGroup	Which reforms or deliverances stand out?	What shows trust under threat?	Where are you facing pressure testing faith?	What prayer-before-action step will you take?
S123	SmallGroup	What contrasts emerge among kings?	What do you learn about repentance?	Where do you need a clean restart?	What first repentance step will you take?
S124	SmallGroup	Which warnings were ignored?	What does this reveal about consequences?	Where might you be ignoring counsel?	What listening change will you practice?
S125	SmallGroup	Which names catch your attention?	What does this suggest about identity?	Who has handed down faith to you?	What thanks will you express this week?
S126	SmallGroup	What roles are highlighted?	What do you notice about calling and skill?	Where do you fit in shared work?	What role-affirming step will you take?
S127	SmallGroup	Which repeating details do you notice?	What does this suggest about God's care?	How does belonging shape choices?	Whom will you encourage for quiet faithfulness?
S128	SmallGroup	What transitions unfold?	What do grief and hope look like together?	Where are you between endings and beginnings?	What anchoring practice will you hold to?
S129	SmallGroup	What responses to God's presence appear?	What do reverence and joy look like together?	Where could they meet in your routines?	What worship habit will you practice?
S130	SmallGroup	What promises and victories are emphasized?	What do they say about God's initiative?	Where can gratitude replace self-credit?	What praise step will you take this week?
S131	SmallGroup	What failure and mercy appear?	What do you learn about confession?	Where do you need to admit wrong?	What correction step will you communicate?
S132	SmallGroup	What organization is established?	What does this show about shared service?	Where could structure help your group?	What system will you set up this week?
S133	SmallGroup	Which roles stand out?	What do you learn about stewardship?	Where should you delegate or ask help?	What team step will you take before the weekend?
S134	SmallGroup	What resources are gathered?	What does this teach about collaboration?	Where do you need partners?	What clear ask will you make of a partner?
S135	SmallGroup	What moments of dedication move you?	What does this reveal about God's faithfulness?	How can you dedicate your work to God?	What dedication prayer will you offer?
S136	SmallGroup	Which achievements are recorded?	What pitfalls accompany accomplishment?	How will you keep worship above achievement?	What centering practice will you schedule?
S137	SmallGroup	What counsel did he receive?	What does this show about pride?	Where have you dismissed advice?	What listening habit will you use?
S138	SmallGroup	What battles or prayers stand out?	What does reliance on God look like?	Where could you rely on God rather than panic?	What prayer-first step will you take?
S139	SmallGroup	What alliances mark his reign?	What does seeking God before battle teach?	Where do you need to pray before planning?	What first prayer will begin your planning?
S140	SmallGroup	What dangers and rescues happen?	What does this show about preserving good?	What has God entrusted to you?	What protective step will you take?
S141	SmallGroup	What patterns emerge among these kings?	What warnings about pride do you see?	Where could pride creep into your strengths?	What humble safeguard will you implement?
S142	SmallGroup	Which renewals stand out?	What do they reveal about trust and worship?	Where do you need to renew a good habit?	What renewal step will you schedule?
S143	SmallGroup	What swings between faith and evil appear?	What do you learn about mercy?	Where do you need hope for change?	What first step will you take?
S144	SmallGroup	What discovery is pivotal?	What does Scripture do to reshape people?	Where could Scripture re-center your week?	What daily time will you set?
S145	SmallGroup	What first steps happen?	What does rebuilding worship teach?	Where do you need to rebuild?	What first brick will you lay?
S146	SmallGroup	What kinds of opposition arise?	What keeps people steady?	Where do you face discouragement?	What steady step will you take?
S147	SmallGroup	What focus does Ezra bring?	What does setting the heart mean?	How can you learn and live God's word?	What plan will you start and share?
S148	SmallGroup	What problem is confronted?	What does real repentance look like?	Where do compromises need attention?	What concrete turn-back step will you take?
S149	SmallGroup	What burden shapes Nehemiah's work?	What does prayerful planning teach?	Where do you sense a burden?	What first move will you make?
S150	SmallGroup	What tactics of opposition appear?	What helps builders stay focused?	Where do distractions pull you off?	What focus practice will you use?
S151	SmallGroup	What practices restore identity?	What do confession and celebration do together?	What rhythm helps after stress?	What restoration rhythm will you build?
S152	SmallGroup	What commitments stand out?	What do you observe about accountability?	Where do you need support?	What accountability step will you implement?
S153	SmallGroup	What unlikely openings appear?	What does this suggest about providence?	Where can your position bless others?	What concrete step will you take?
S154	SmallGroup	What risks shape the rescue?	What does this teach about courage?	Where might you need to speak wisely?	What respectful action will you take?
S155	SmallGroup	What losses begin Job's story?	What do you learn about lament?	Where do you need room for pain?	What spoken prayer will you offer?
S156	SmallGroup	What counsel do friends give?	What are its limits?	How can you better support someone?	What gentle support step will you take?
S157	SmallGroup	What claims appear here?	What do you observe about hope?	Where are you holding on?	What trust practice will you choose?
S158	SmallGroup	What themes of justice appear?	What does Job claim about integrity?	Where do you long for fairness?	What honest request will you bring?
S159	SmallGroup	What final defenses does Job make?	What does searching the heart mean?	Where do motives need review?	What next step will you take?
S160	SmallGroup	What new angles does Elihu offer?	What does he say about God teaching?	Where could you welcome correction?	What listening step will you practice?
S161	SmallGroup	What images of God's power move you?	What does humility before mystery produce?	Where can you trust without complete answers?	What act of trust will you choose and note?
S162	SmallGroup	Which lines stay with you?	What portraits of righteous and wicked appear?	How do these intersect with your choices?	What daily prayer will you repeat?
S163	SmallGroup	What cries or praises stand out?	What do you learn about God's nearness?	Where do you need help this week?	What prayer will you pray at start and end of each day?
S164	SmallGroup	What images of God speak to you?	What do these say about guidance?	How will you practice trust concretely?	What verse will you place where you'll see it?
S165	SmallGroup	What testimonies or laments do you notice?	What do you learn about fear and refuge?	What fear needs naming?	What step of praise or seeking help will you take?
S166	SmallGroup	What repeated longings did you observe?	What does thirsting for God mean?	Where do you feel spiritually dry?	What seek-God practice will you add for seven days?
S167	SmallGroup	What contrasts between plotting and trusting?	What faith responses appear under pressure?	Where are you tempted to retaliate?	What non-retaliating response will you choose?
S168	SmallGroup	What pictures of creation and blessing appear?	What do you learn about the King?	How will you pray for leaders?	What specific intercession will you pray daily?
S169	SmallGroup	What struggles with envy appear?	What shifts in God's presence?	Where does comparison steal joy?	What gratitude practice will reframe perspective?
S170	SmallGroup	What history or warnings are retold?	What lessons should we remember?	What story could you share with someone younger?	Who will you tell and when?
S171	SmallGroup	What songs of longing stand out?	What do you notice about faithfulness?	Where do you long for God's presence?	What draw-near practice will you add?
S172	SmallGroup	What calls to worship do you see?	What do these say about God's reign?	How could public gratitude point others to God?	What line of praise will you speak daily?
S173	SmallGroup	What commitments appear?	How do these psalms model remembering?	What commitment needs renewal?	What step will you take to keep it?
S174	SmallGroup	What patterns of rescue recur?	What does fearing the Lord mean daily?	Where have you seen God rescue you?	Whom will you thank because of it?
S175	SmallGroup	What themes of praise stand out?	How does God lift the humble?	Where do you need humility in success?	What act of thanks will you offer?
S176	SmallGroup	Which lines about God's word moved you?	What value does Scripture bring?	How could you weave Scripture in?	What practice will you start this week?
S177	SmallGroup	What pilgrim songs caught your ear?	What do they say about steadfast love?	What journey needs God's help?	What prayer will you pray daily?
S178	SmallGroup	What raw emotions appear?	What does bringing your whole heart mean?	Where do you need honest prayer?	What honest prayer step will you take?
S179	SmallGroup	What reasons to praise fill these?	Who praises and how?	How could praise reshape routines?	What practice will you build into mornings?
S180	SmallGroup	What contrasts stand out?	What value do you see in correction?	Where do you need wisdom?	What step will you take to seek counsel?
S181	SmallGroup	Which sayings strike you most?	What do they teach about pathways?	Where could this wisdom correct habits?	What practice will you adopt this week?
S182	SmallGroup	What repeated themes do you notice?	What results from these choices?	Which theme speaks to your context?	What single change will you make?
S183	SmallGroup	What contrasts about motives stand out?	How do these expose hidden aims?	Where might good intentions need wiser methods?	What concrete adjustment will you make?
S184	SmallGroup	What counsel feels timely?	What do these assume about teachability?	How could correction strengthen relationships?	What step will you take to invite feedback?
S185	SmallGroup	Which proverbs about work stand out?	What consequences are tied to choices?	Where do shortcuts tempt you?	What quality-first step will you take?
S186	SmallGroup	Which proverb addresses your temptation?	What wiser alternative is commended?	What boundary would protect you?	What clear boundary will you set?
S187	SmallGroup	What tensions about meaning appear?	How does the writer assess life?	Where are you chasing wind?	What simplification will you implement?
S188	SmallGroup	What balance does the writer make?	How do limits frame wise living?	Where do you need humble enjoyment?	What practice of reverent enjoyment will you schedule?
S189	SmallGroup	What pictures of love emerge?	What boundaries appear around love?	How might these shape relationships?	What honoring action will you practice?
S190	SmallGroup	Which charges are named?	What does God desire here?	Where could ritual replace righteousness?	What justice-oriented step will you take?
S191	SmallGroup	What struck you about the vision?	What does holiness produce?	Where do you sense a scary call?	What simple "send me" step will you take?
S192	SmallGroup	What warnings and promises stand out?	What traits mark the promised reign?	Where do you long for this rule?	What act of hope-shaped obedience will you do?
S193	SmallGroup	Which nations are addressed and why?	What patterns are judged?	Where do you see similar roots?	What intercession or integrity act will you take?
S194	SmallGroup	What repeating ideas appear?	How does God contrast with idols?	Where do you trust false securities?	What trust shift will you make?
S195	SmallGroup	What images of judgment and rescue?	What does this claim about God's rule?	Where do you need hope?	What daily truth will anchor hope?
S196	SmallGroup	What themes recur?	How does misplaced trust get exposed?	Where might self-reliance hide?	What practical dependence step will you take?
S197	SmallGroup	What future restoration is pictured?	What promises are given?	Where do you need courage?	What concrete step aligns with this future?
S198	SmallGroup	What deliverance and failure are recorded?	What lessons about trust emerge?	Where could success lead to carelessness?	What humility safeguard will you set?
S199	SmallGroup	What contrasts are highlighted?	What comfort do you hear?	Where do you feel weak?	What truth will you speak when fear rises?
S200	SmallGroup	What marks the Servant's mission?	How do idols fail here?	Where could gentle justice guide you?	What gentle-and-firm step will you take?
S201	SmallGroup	What does God declare about Cyrus?	What does this show about sovereignty?	Where do you struggle to see purpose?	What patient trust practice will you keep?
S202	SmallGroup	Which roles stand out?	How is hope offered to the weary?	Where could you embody service?	What servant act will you plan this week?
S203	SmallGroup	What suffering and victory are described?	What does this claim about salvation?	How does this shape humility?	What mercy action will you take?
S204	SmallGroup	What true fasting looks like?	What promises follow repentance?	Where can you align piety with mercy?	What specific mercy practice will you do?
S205	SmallGroup	What cycles appear?	What hope is given?	Where do you need long-view endurance?	What endurance habit will you keep daily?
S206	SmallGroup	What parts of the call stand out?	What fears and reassurances appear?	Where might you speak truth?	What careful, obedient step will you take?
S207	SmallGroup	What sins are identified?	What does this reveal?	Where do similar roots appear?	What turn-from step will you take?
S208	SmallGroup	What false trusts are exposed?	What does real worship require?	Where are forms replacing substance?	What honest change will you make?
S209	SmallGroup	What covenant breaches are described?	What does this show?	Where are you resisting?	What practical step will you take?
S210	SmallGroup	What shows God's reluctance?	What does this teach?	Where do you minimize damage?	What wise limit will you set?
S211	SmallGroup	What signs of mercy appear?	What responses are invited?	Where do you see an open door?	What step will you take through it?
S212	SmallGroup	What opposition meets Jeremiah?	How does he respond?	Where do you need courage?	What support will you put in place?
S213	SmallGroup	Which leaders are addressed?	What does God require?	Where do you influence?	What leader habit will you practice?
S214	SmallGroup	What conflict appears?	What marks trustworthy messages?	Where do you need discernment?	What test will you apply?
S215	SmallGroup	What hope is offered?	What does the covenant promise?	Where do you need patience?	What regular practice will you keep?
S216	SmallGroup	What act of faith occurs?	What does this show about hope?	Where could you invest in future good?	What investment step will you make?
S217	SmallGroup	What covenants are contrasted?	What is commended?	Where do you need integrity?	What promise will you honor carefully?
S218	SmallGroup	What trials continue?	What sustains faithfulness?	Where are you tired?	What perseverance step will you commit to?
S219	SmallGroup	What scenes mark the fall?	What lessons surface?	Where do you see consequences?	What preventive step will you take?
S220	SmallGroup	What choices lead to flight?	What does this show?	Where are fear-based decisions steering?	What trust-based choice will you make?
S221	SmallGroup	What judgments are announced?	What does this reveal?	Where do you long for justice?	What prayer or advocacy will you take?
S222	SmallGroup	What further judgments appear?	What recurring wrongs?	Where do those roots appear?	What repair step will you take?
S223	SmallGroup	What fate awaits Babylon?	What does this say about pride?	Where is pride tempting you?	What humble practice will you adopt?
S224	SmallGroup	What closing notes appear?	How do outcomes confirm warnings?	What settled lesson emerges?	What reminder will you keep visible?
S225	SmallGroup	What images of grief stand out?	What does lament teach?	Where do you need honest lament?	What short lament will you speak?
S226	SmallGroup	What turns toward hope?	What is remembered?	Where do you need hope?	What mercy reminder will you set?
S227	SmallGroup	What features stay with you?	What does this communicate?	How should awe reshape choices?	What practice of awe will you add?
S228	SmallGroup	What sign-acts occur?	What message do they convey?	Where do you need a wake-up call?	What immediate change will you make?
S229	SmallGroup	What reasons for departure?	What does this reveal?	Where are you crowding out God?	What will you remove this week?
S230	SmallGroup	What enacted signs appear?	What do they show?	Where are warnings unheeded?	What listening action will you take?
S231	SmallGroup	What metaphors appear?	What do they reveal?	Where are promises treated lightly?	What faithfulness step will you take?
S232	SmallGroup	What images stand out?	How do justice and mercy appear?	Where do you need both?	What balanced action will you practice?
S233	SmallGroup	What history is rehearsed?	What does this show?	Where are patterns repeating?	What new path will you start?
S234	SmallGroup	What does this graphic allegory reveal?	What does it teach about spiritual adultery?	Where do we see relational betrayal harming community?	What repair step will you advance this week?
S235	SmallGroup	Which nation's judgment stands out?	What warnings about pride and cruelty emerge?	Where must we resist contempt?	What respectful action will you practice?
S236	SmallGroup	What judgments fall on Egypt's pride?	What does this reveal about false strength?	Where do you lean on fragile supports?	What stronger trust practice will you choose?
S237	SmallGroup	What is the watchman's duty?	What responsibility for warning do you see?	Where should you speak up for someone's good?	What careful, timely word will you share?
S238	SmallGroup	What shepherd images describe God's care?	What promises of renewal are offered?	Where do you need shepherding?	What step will you take to receive and extend care?
S239	SmallGroup	What visions of life and renewal appear?	What do they reveal about Spirit-given restoration?	Where do you hope to see new life?	What act of hope will you practice?
S240	SmallGroup	What details of measurement stand out?	What do order and holiness communicate here?	Where do boundaries help you meet with God?	What boundary (time, place, tech) will you honor?
S241	SmallGroup	What moment marks return?	What changes should follow?	Where do you sense rebuilding?	What worship response will you practice?
S242	SmallGroup	What roles and rhythms appear?	What do sacred times teach?	Which rhythm could shape your group?	What time will you guard this week?
S243	SmallGroup	What life-giving images affect you?	What do they show about presence?	Where do you long for healing?	What step toward planting life will you take?
S244	SmallGroup	What pressures test them?	What practices keep them faithful?	Where do you need resolve?	What faithful practice will you keep?
S245	SmallGroup	What rescues and humblings occur?	What do they reveal?	Where do you need courage?	What bold yet respectful step will you take?
S246	SmallGroup	What warnings are ignored?	What does Daniel's witness show?	Where might integrity cost you?	What faithful choice will you make?
S247	SmallGroup	Which visions stand out?	What do they say about God's rule?	Where do you need endurance?	What endurance practice will you adopt?
