SegmentID	Audience	Q1	Q2	Q3	Q4
S055	School	What journey detail caught your attention?	What does this say about perseverance and guidance?	Where do you need steady perseverance at school?	What small step will you repeat each day this week?
S056	School	Why all these boundary markers?	What does this reveal about wisdom, safety, and trust?	Where do you need clear boundaries to thrive?	What boundary will you set or renew today?
S057	School	What memories did Moses emphasize?	What does this teach about identity shaped by remembering?	What memory of God’s help strengthens you now?	How will you remember and share it this week?
S058	School	How many times did Moses say "listen"?	What does this show about hearing that leads to doing?	Where do you need to match listening with action?	What small act of obedience will you do today?
S059	School	What's at the heart of this covenant?	What does this say about love, loyalty, and worship?	How can covenant love shape your school relationships?	What act of loyal love will you practice this week?
S060	School	Where is all this obedience heading?	What does this reveal about witness and why we exist?	Where could your choices point others toward God?	What witness will you live out this week?
S081	School	Did Jephthah's vow shock you?	Why are rash promises so dangerous?	Where do your words run ahead of wisdom?	What careful speaking habit will you practice?
S082	School	If Samson was so strong, why did he fall?	How can your greatest strength become your weakness?	Where are you strong yet vulnerable at school?	What safeguard will you put in place this week?
S083	School	Why was everyone doing whatever they wanted?	What happens when there's no true guide?	Where do you see "everyone does their own thing" at school?	What guiding truth will you follow this week?
S084	School	How did things get this dark?	Where was God in all this chaos?	Where can you be a voice for what's right?	What protective step will you take for someone vulnerable?
S085	School	Which character would you want as a friend?	How does loyalty change everything?	Where could loyal kindness change a situation at school?	What loyal action will you take this week?
S086	School	How young was Samuel when God called?	Can God really speak to teenagers?	Where do you sense God nudging you to listen?	What listening practice will you try this week?
S087	School	Were the people wrong to want a king?	Is fitting in always bad?	Where do you feel pressure to fit in rather than trust God?	What counter-cultural choice will you make this week?
S088	School	How did Saul go from hiding to king?	When does humility turn to pride?	Where could humility shape your leadership among peers?	What humble practice will you choose this week?
S089	School	Why couldn't Saul just wait?	How does impatience ruin things?	Where do time pressure and image drive your decisions?	What wise pause will you build into your week?
S090	School	If God looks at hearts, what does He see in yours?	Why did God choose the smallest brother?	Where do outward appearances mislead at school?	What heart habit will you cultivate this week?
S091	School	Could you face your Goliath with just a sling?	Where does that kind of courage come from?	Where do you face an oversized challenge at school?	What step of faith will you take toward that challenge?
S092	School	Who was the better friend - David or Jonathan?	How do you stay loyal when it costs you?	Where could you practice loyal friendship under pressure?	What boundary or habit will guard your heart this week?
S093	School	When did David almost lose it?	How do you keep your cool under stress?	Where do you need wisdom when stressed?	What wise step will you take before reacting?
S094	School	Could you spare someone who's hunting you?	Is revenge ever worth it?	Where could restraint break a harmful cycle?	What gracious response will you choose if provoked?
S095	School	Which looks more desperate - Saul or David?	Where do shortcuts lead us?	Where are you tempted to take shortcuts?	What practice will help you seek God first?
S096	School	How do you honor someone who hurt you?	Is grief a sign of weakness or strength?	Where do you need space to grieve or honor someone?	What simple step of lament will you take?
S097	School	How long did David wait to be king?	Is waiting always part of God's plan?	Where is waiting shaping your character now?	What faithful habit will you keep while you wait?
S098	School	If God promised David a forever kingdom, where is it?	How do God's promises outlast our mistakes?	How does promise shape your hope during pressure?	What hope practice will you carry this week?
S099	School	Did success change David?	How do you handle winning well?	How will you handle success without losing humility?	What gratitude step will you take after a win?
S100	School	When did David's life spiral?	Can one bad choice really ruin everything?	Where could small compromises grow into bigger harm?	What guardrail will you set in place this week?
S101	School	When did Absalom's plan start forming?	How does flattery manipulate people?	Where do you see subtle power plays around you?	What peacemaking step could you take this week?
S102	School	Whose advice won the day?	Why do people listen to bad counsel?	Whose voices most influence your choices right now?	What wise counsel will you seek before deciding?
S103	School	How did David handle coming back?	Is restoration possible after betrayal?	Where do you sense need for restoration in a group?	What step toward repair will you take this week?
S104	School	Which of David's final acts surprised you?	How do you want your story to end?	Where do end-of-season choices matter most?	What finish-well practice will you adopt this week?
S105	School	Why all the drama over who becomes king?	How should leadership transitions work?	Where are you entering a new responsibility?	What first step will you take to seek wisdom?
S106	School	If you got one wish, what would you ask for?	Why did Solomon's request please God?	Where do you most need discernment this month?	What daily habit will you use to grow in wisdom?
S107	School	Could you build something this magnificent?	When does excellence become worship?	Where could excellence honor God in your studies?	What quality step will you take on a task?
S108	School	What would you pray at a dedication?	How does God's presence change a place?	How could you dedicate a space or routine to God?	What short prayer of dedication will you pray?
S109	School	When did Solomon start slipping?	How does comfort lead to compromise?	Where might comfort be pulling you off course?	What course correction will you make today?
S110	School	Could one conversation prevent a civil war?	Why don't people listen to each other?	Where does stubbornness divide teams or friends?	What listening step will you take before speaking?
S111	School	Can you see the pattern across these kings?	Which mistakes keep repeating?	Which patterns do you want to avoid?	What practice will you adopt to shape a better legacy?
S112	School	Would you stand alone like Elijah?	What's the cost of total loyalty to God?	Where do you face competing loyalties?	What step will you take to choose faithfulness?
S113	School	Ever felt as done as Elijah under the tree?	Where was God when Elijah gave up?	Where do you feel depleted or discouraged?	What rest or obedience step will you take?
S114	School	How did Ahab get away with murder?	Who speaks truth to power today?	Where do you see misuse of power?	What courageous truth-telling step will you take?
S115	School	Which alliance surprised you?	Who influences your decisions most?	Where do your alliances shape your walk with God?	What boundary will you set for healthier influence?
S116	School	Which miracle would you want to witness?	How does God care for individuals?	Who near you needs quiet help or encouragement?	What simple act of care will you offer?
S117	School	Did God care about other nations too?	How far does God's love reach?	Who is outside your usual circle at school?	What step will you take toward them?
S118	School	Was Jehu too violent or just right?	When does zeal become dangerous?	Where do you need zeal guided by wisdom?	What focused step will you take this week?
S119	School	How close did the royal line come to ending?	Who protected what mattered most?	What good thing has God entrusted to you?	What safeguard will you put in place?
S120	School	Why couldn't these kings go all the way?	Is partial obedience really disobedience?	Where do you tend to stop short of what's good?	What completion step will you take this week?
S121	School	When did you know Israel was doomed?	How do nations fall from the inside?	Where do lesser loves pull your heart away from God?	What re-centering step will you take today?
S122	School	Which miracle gave you hope?	Can one good leader change everything?	Where are you facing pressure that tests your trust?	What prayerful step will you take before acting?
S123	School	How can one king be so evil and his son so good?	Is change always possible?	Where do you need a clean start with God?	What first step toward change will you take?
S124	School	Could Judah have avoided exile?	When is it too late to turn back?	Where are you ignoring wise counsel right now?	What listening change will you make this week?
S125	School	Does your family tree matter to God?	How does faith pass through generations?	Who has passed faith or wisdom to you?	What thanks will you express to them?
S126	School	Which tribe would you want to be in?	Where do you fit in God's story?	Where do you fit in your community's shared work?	What part will you play faithfully this week?
S127	School	Why repeat information we already know?	How does remembering shape who we are?	How does belonging shape your choices?	Who will you encourage for their faithfulness?
S128	School	How do you grieve and hope at the same time?	Is it okay to feel multiple emotions?	Where are you between an ending and beginning?	What anchor practice will keep you steady?
S129	School	Would you dance like David did?	When is worship worth looking foolish?	How can reverence and joy meet in your routines?	What worship habit will you practice this week?
S130	School	Did David earn these victories?	Who really wins our battles?	Where can gratitude replace self-credit in your life?	What praise step will you take after work well done?
S131	School	Why count people if God didn't want it?	Can good intentions still be wrong?	Where do you need to admit wrong and adjust?	What correction step will you take this week?
S132	School	Does organization matter to God?	Why all these detailed roles?	Where could better structure help your group?	What one system will you set up or simplify?
S133	School	Could you handle that much responsibility?	How do you know what you're responsible for?	Where should you delegate or ask for help?	What team step will you take this week?
S134	School	Where did all these resources come from?	What makes people give generously?	Where do you need partners to build something good?	What clear ask will you make this week?
S135	School	If you were there, what would you feel?	When have you felt God's presence strongly?	How can you dedicate your work or gifts to God?	What simple dedication prayer will you offer?
S136	School	Which achievement impressed you most?	When do achievements become idols?	How will you keep worship above achievement?	What practice will keep your heart centered?
S137	School	Whose advice would you have taken?	Why do we dismiss good advice?	Where have you dismissed good advice too quickly?	What listening habit will you practice?
S138	School	Which king would you follow?	Can God use imperfect leaders?	Where could you rely on God rather than panic?	What prayer-first step will you take?
S139	School	Why make alliances with enemies?	Should God's people partner with anyone?	Where do you need to pray before you plan?	What first prayer will start your planning?
S140	School	How close did evil come to winning?	Who kept hope alive in dark times?	What good has God trusted you to guard?	What protective step will you take?
S141	School	Which king's downfall hurt most?	How does pride sneak into our strengths?	Where could pride creep into your strengths at school?	What humble safeguard will you put in place?
S142	School	Could one person really cleanse a whole nation?	What does spiritual renewal look like?	Where do you need to renew a good habit with God?	What renewal step will you take this week?
S143	School	How can someone so evil repent?	Is anyone beyond God's reach?	Where do you need hope that change is possible?	What first step toward change will you take?
S144	School	If finding Scripture changed everything, why don't we read it more?	What would happen if we really listened to God's word?	Where could Scripture re-center your week at school?	What time will you set to read and respond each day?
S145	School	Would you want to return to ruins?	Why go back when you could stay comfortable?	Where do you need to rebuild something that matters?	What first brick will you lay this week?
S146	School	Why did their neighbors try to stop them?	What threatens people about others' success?	Where do you face discouragement while doing good?	What steady step will you take despite pushback?
S147	School	How did Ezra become such an expert?	What's the difference between knowing and doing?	How can you set your heart to learn and live God's word?	What small plan will you start this week?
S148	School	Why confess publicly instead of privately?	When does private sin need public confession?	Where do compromises need honest attention in your life?	What clear step will you take to turn back to God?
S149	School	Could one person's burden change a city?	What breaks your heart that others ignore?	Where do you sense a burden you need to own?	What first move will you make with prayer and wisdom?
S150	School	How did they build with swords in hand?	Can you work while under attack?	Where do distractions pull you off good work at school?	What focus step will you take to keep building?
S151	School	Why read Scripture until noon?	How do confession and celebration go together?	What rhythm helps restore your heart after stress?	What rhythm will you build into this week?
S152	School	Why make promises you might break?	What's the point of public commitment?	Where do you need support to keep good commitments?	What accountability step will you set up?
S153	School	How did Esther end up as queen?	Can God use beauty pageants?	Where might your position help others?	What step will you take to serve where you are?
S154	School	Would you risk everything for your people?	When is silence not an option?	Where might you need to speak up for someone?	What respectful step will you take to use your voice?
S155	School	If you were Job, would you still trust God?	Where is God when everything falls apart?	Where do you need room to bring pain to God?	What simple prayer will you say in your own words?
S156	School	Are Job's friends helping or hurting?	What makes someone a good friend in crisis?	How can you be a better friend to someone hurting?	What gentle action will you take to support them?
S157	School	Why does Job keep arguing?	Is it okay to question God?	Where are you holding on without full understanding?	What small trust step will you take today?
S158	School	Does God owe Job an explanation?	How do you trust when life seems unfair?	Where do you long for fairness or clarity now?	What honest request will you bring to God?
S159	School	Has Job said too much or not enough?	When should we stop defending ourselves?	Where do you need to examine motives and actions?	What next step will you take after reflection?
S160	School	Does Elihu help or just talk more?	Who has the right to correct you?	Where could you welcome fresh correction or insight?	What listening step will you practice this week?
S161	School	Which of God's questions hit hardest?	Why doesn't God answer Job's questions directly?	Where can you trust God without complete answers?	What act of trust will you choose this week?
S162	School	Which psalm line would you tweet?	How do these ancient songs speak today?	How do these portraits intersect with your choices right now?	What daily prayer or verse will you carry this week?
S163	School	If you wrote a psalm, what would it say?	Why do biblical writers complain to God?	Where do you need help or strength this week?	What one-sentence prayer will you pray daily?
S164	School	Which name for God fits your life now?	How many ways can we describe God?	How will you practice trust in one concrete situation?	What verse will you screenshot or write down?
S165	School	Do you relate more to the praise or lament?	Can faith and fear exist together?	What fear needs naming before God?	What step of praise or seeking help will you take?
S166	School	Have you ever felt spiritually dry?	Where is God when we can't feel Him?	Where do you feel spiritually dry or discouraged?	What simple seek-God practice will you add?
S167	School	Would you rather get even or trust God?	Why is revenge so tempting?	Where are you tempted to retaliate or despair?	What trusting response will you choose instead?
S168	School	If God is King, what changes?	How should God's rule affect daily life?	How will you pray for leaders and communities?	What short prayer will you offer for them?
S169	School	Why do good people sometimes struggle more?	Does following God guarantee easy life?	Where does comparison steal your joy?	What gratitude step will you practice this week?
S170	School	Which Bible story would you tell a kid?	Why keep telling old stories?	What story of God's help could you share with someone younger?	Who will you tell and when this week?
S171	School	Why do we sing to God?	What's the connection between music and faith?	Where do you long to sense God's presence in ordinary life?	What small draw-near practice will you add?
S172	School	How loud should worship be?	Is quiet or loud worship better?	How could public gratitude point others to God?	What brief line of praise will you speak daily?
S173	School	Can you keep a promise to God?	Why make commitments we might break?	What commitment do you need to renew with God?	What step will you take to keep it?
S174	School	Who has rescued you lately?	Do we notice when God helps us?	Where have you seen God rescue you recently?	Who will you thank or encourage because of it?
S175	School	Are you better at asking or thanking?	Why is humility so hard when things go well?	Where do you need humility in visibility or success?	What simple act of thanks will you offer?
S176	School	How would you survive without Google? How did they survive without the Bible app?	Why does this psalm go on forever about God's word?	How could you weave Scripture into your day?	What one practice will you start?
S177	School	Are we there yet? What journey feels longest to you?	Why sing while traveling?	What journey are you on that needs God's help?	What short prayer will you pray along the way?
S178	School	Is it wrong to be angry at God?	How honest can we be in prayer?	Where do you need to bring strong feelings into prayer?	What honest prayer step will you take?
S179	School	If everything praises God, why don't we?	What would change if we praised more?	How could praise reshape ordinary routines?	What one way will you practice praise?
S180	School	Who's the wisest person you know?	Where does real wisdom come from?	Where do you most need wisdom for a choice?	What step will you take to seek counsel?
S181	School	Which proverb sounds like your parents?	Why do wise sayings stick in our heads?	Where could this wisdom correct a current habit?	What one practice will you adopt this week?
S182	School	If you could fix one thing about your words, what would it be?	Why do words have so much power?	Where do your words need more care?	What speaking habit will you practice?
S183	School	Which proverb describes your life right now?	How do small choices create big outcomes?	Where do your habits shape your path?	What small habit will you start today?
S184	School	Who gives you the best advice?	Why is it hard to accept correction?	Where do you need honest feedback?	Who will you invite to speak truth to you?
S185	School	Are you more like the ant or the sluggard?	What's the difference between rest and laziness?	Where do you need steady effort this week?	What daily step will you repeat?
S186	School	Which temptation trips you up most?	How do boundaries actually give freedom?	Where do you face that temptation now?	What boundary will you set this week?
S187	School	Does anything really matter if we all die?	What's the point of working so hard?	Where do you chase what doesn't satisfy?	What practice will help you enjoy God's gifts?
S188	School	Can you enjoy life and honor God?	Is it okay to have fun?	How could reverence shape your plans?	What simple joy will you receive with thanks?
S189	School	Is this too much for youth group?	What does God think about romance?	How can you honor others in words and actions?	What boundary or practice will protect love?
S190	School	Which bothers God more - bad worship or bad behavior?	Can you worship and be mean?	Where must justice and worship meet in you?	What act of justice will you do this week?
S191	School	Would you volunteer like Isaiah?	What makes someone ready to serve God?	How does God's call meet your weakness?	What "here am I" step will you take?
S192	School	What kind of king would you want?	Why do we need a perfect ruler?	Where do you long for that kind of peace?	How will you live under that hope today?
S193	School	Why does God care about other nations?	Is God only interested in His people?	Where do you see pride or cruelty today?	What prayer or action for justice will you take?
S194	School	Do people still trust in things that can't save?	What are modern idols?	Where are you tempted by false security?	What will you trust God with this week?
S195	School	Can you have hope while everything falls apart?	Where is God in the chaos?	Where do you need hope in hard news?	What faithful step will you take today?
S196	School	Why do strong people think they don't need God?	When does confidence become arrogance?	Where do you rely on your own strength?	How will you depend on God this week?
S197	School	If you could see the future, would you want to?	Why does God show us glimpses of what's coming?	Where do you need courage now?	What step expresses trust in that promise?
S198	School	How can the same person be so good then so bad?	What does success do to our hearts?	Where could success lead you to drift?	What guard will keep you humble?
S199	School	Who's stronger - your fears or your God?	What's your biggest fear right now?	Where do you feel weak or afraid now?	What truth from here will you hold to?
S200	School	What kind of servant-leader would you follow?	How is God's servant different from world leaders?	Where do you need gentle justice and healing?	What response of trust will you offer?
S201	School	How can God use pagan kings for His purposes?	Who's really in control of history?	Where do you struggle to see God at work?	What patient trust will you practice this week?
S202	School	Which role of the servant appeals to you most?	How can weakness be strength?	Where do you feel called to serve others?	What small servant step will you take today?
S203	School	Could you handle being misunderstood for doing right?	Why did the servant have to suffer?	How does this shape your view of Jesus?	How will you respond to this grace?
S204	School	What's the difference between real and fake fasting?	Can you worship God and ignore people?	Where could you practice true fasting now?	What act of mercy will you choose?
S205	School	Does God's patience ever run out?	How many chances do we get?	Where do you need hope for the future?	What step aligns with God's future today?
S206	School	Would you want Jeremiah's job?	Why choose a hard calling?	Where do you fear speaking truth?	What brave, kind step will you take?
S207	School	Which sin sounds most like today?	Do nations still make God angry?	Where are similar roots in your world?	What turn-back step will you take today?
S208	School	Can you go to church and still miss God?	What's worse - no worship or fake worship?	Where do you perform without heart?	What honest change will you seek?
S209	School	Why is it so hard to keep promises to God?	What happens when we break covenant?	Where do you resist God's ways?	What practice will help you return?
S210	School	If God doesn't want to punish, why does He?	How serious is sin really?	Where do you downplay harmful choices?	What wise limit will you set?
S211	School	Is it ever too late to come back to God?	What does real return look like?	Where do you see God opening a door?	What step will you take through it?
S212	School	Would you keep going if everyone hated you?	Where do prophets find strength?	Where do you need courage to keep going?	What support will you seek?
S213	School	What makes a leader good or bad?	Who's responsible for bad leadership?	Where do you lead in small ways?	What leader habit will you practice?
S214	School	How can you tell real truth from fake?	Why do people prefer comfortable lies?	Where do you need discernment?	What test of truth will you use?
S215	School	Could you hope in exile?	What keeps hope alive in dark times?	Where do you need hope in a long season?	What patient practice will you adopt?
S216	School	Why buy land in a doomed city?	What does hope look like in action?	Where can you act toward future good?	What small investment will you make?
S217	School	Which covenant would you rather live under?	Why do some people keep promises better?	Where do you need to keep your word?	What promise will you honor this week?
S218	School	How long can you do right when no one cares?	What keeps you going when tired?	Where are you tired of doing good?	What perseverance step will you take?
S219	School	Did they think warnings were just talk?	When do consequences become real?	Where do you see the cost of ignoring warnings?	What wise change will you make now?
S220	School	Why run to Egypt when God said not to?	Where do we run when scared?	Where do fear-based choices tempt you?	What trust choice will you make?
S221	School	Does God care about nations that don't know Him?	Is anyone outside God's justice?	Where do you long to see justice today?	What prayer for justice will you offer?
S222	School	Do powerful nations last forever?	What brings empires down?	Where do you see those same roots of harm?	What step toward repair will you take?
S223	School	Can bullies rule forever?	What happens to proud empires?	Where do you trust in image or status?	What humble action will you choose?
S224	School	Did Jeremiah waste his life warning people?	Was it worth it if no one listened?	What lesson will you keep from this book?	What practice will help you remember?
S225	School	Is it okay to be this sad?	When should we mourn?	Where do you need to lament honestly?	What prayer of lament will you bring?
S226	School	Can hope survive total destruction?	Where do you find hope in the ruins?	Where do you need hope to rise again?	What daily reminder of mercy will you keep?
S227	School	If you saw this, could you speak?	What's it like to see God's glory?	How does awe change how you live?	What practice will help you live with awe?
S228	School	Why act out messages instead of just speaking?	Do actions speak louder than words?	Where do you need a wake-up call?	What change will you make before day's end?
S229	School	Can God's presence actually leave?	What drives God away?	Where do you crowd out God in daily life?	What will you remove to make room?
S230	School	Do people ever get the message?	Why are we so stubborn?	Where do warnings fail to move you?	What step of humble listening will you take?
S231	School	Why such shocking language about unfaithfulness?	How serious is betraying God?	Where do you treat promises lightly?	What faithful act will you choose?
S232	School	Can you have justice without mercy?	Which does God prefer?	Where do you need both truth and kindness?	What wise blend will you practice?
S233	School	Do we repeat our ancestors' mistakes?	How do you break family patterns?	Where are you repeating old mistakes?	What new path will you take today?
S234	School	Why use such a shocking story here?	How serious is unfaithfulness to God?	Where do you see loyalty and betrayal play out at school?	What faithful act will you choose this week?
S235	School	Why judge nations that don't even follow God?	Is God only in charge of Christians?	Where must you resist contempt for others?	What respectful action will you take today?
S236	School	Why was relying on Egypt such a bad idea?	What happens when we trust powerful people instead of God?	Where do you lean on fragile supports?	What stronger trust will you practice this week?
S237	School	What's the job of a watchman?	Are we responsible for our own choices?	Where should you speak up with care and truth?	What careful word will you share this week?
S238	School	Which promise here sounds the best?	How is God different from the bad leaders in this story?	Where do you need shepherding—guidance, rest, healing?	What step will you take to receive His care?
S239	School	Picture the valley of dry bones coming to life—what does that look like?	Can God bring life to things that seem completely dead?	Where do you hope to see new life emerge?	What practical act of hope will you practice?
S240	School	Why so many measurements?	What does all this detail say about how much God cares?	Where do boundaries help you meet with God?	What boundary will you honor daily this week?
S241	School	What would it feel like when God's glory returns?	Can God's presence really come back after leaving?	Where do you sense God rebuilding your heart?	What worship response will you bring this week?
S242	School	Why so many details about schedules and portions?	Does God care about our routines?	Which rhythm could shape your week well?	What time will you guard for God this week?
S243	School	If you followed this river, where would it lead?	What brings dead things to life?	Where do you long to see healing flow?	What step will you take toward that healing?
S244	School	Would you eat vegetables over royal food?	When does different equal better?	Where do you need resolve in a difficult environment?	What faithful practice will you keep this week?
S245	School	Which rescue was more impressive?	How does God humble the proud?	Where do you need courage to stand firm?	What bold yet respectful step will you take?
S246	School	Could you stay faithful knowing the cost?	Is integrity worth your life?	Where might integrity cost you something?	What choice will you make to stay faithful?
S247	School	Which vision scares you most?	Why show such frightening futures?	Where do you need endurance and hope?	What practice will help you endure this week?
S248	School	Do spiritual battles really happen?	Who's fighting who in the heavens?	Where do you feel outmatched or anxious?	What prayer will you keep in those moments?
S249	School	How can God love someone who keeps cheating?	What kind of love never gives up?	Where do you return to lesser loves?	What turn back to God will you make today?
S250	School	How many times will God say "come back"?	Is there a point of no return?	Where do you need to come home to God?	What practical step will you take today?
S251	School	What would the Day of the Lord look like?	Should we be scared or excited?	Where do you need wholehearted return to God?	What act of repentance will you practice?
