storyCode	question1	question2	question3	question4
S083	What scenes showed confusion about right and wrong?	What happens when everyone does only what they want?	Where do we see that around us?	What truth will guide us this week?
S084	What troubled you in these stories?	What do they show about the need for justice?	Where can we protect someone who is vulnerable?	What careful action will we take?
S085	What choices by Ruth or Boaz stood out?	What do we learn about loyal love and kindness?	Where could loyal kindness help someone we know?	What kind action will we do this week?
S086	What signs showed God was with Samuel?	What does listening to God look like here?	Where do we sense God nudging us to listen?	When will we be quiet and listen this week?
S087	Why did the people want a king?	What does this show about fear and trust?	Where do we feel pressure to fit in?	What trusting choice will we make instead?
S088	What marked Saul’s start as king?	What do you notice about humility and calling?	Where could humility help us lead better?	What humble practice will we try this week?
S089	What choices showed foolishness here?	What do we learn about impatience and pressure?	Where do we rush instead of waiting wisely?	What pause will we build into our day?
S090	What contrasts did you see between Saul and David?	What does God seeing the heart mean to you?	Where do appearances trick us at school?	What heart habit will we practice this week?
S091	What moments of courage or fear did you hear?	What does God value in a leader here?	Where do we face a big challenge?	What step of faith will we take this week?
S092	What tensions were between Saul, David, and Jonathan?	What do we learn about loyalty and jealousy?	Where can we be loyal friends under pressure?	What kind action will we do for a friend?
S093	What choices did David make when pressed?	What do those choices show about trust?	Where do we need wisdom when stressed?	What wise step will we take before reacting?
S094	Where did David have a chance to get even?	What does his restraint teach us?	Where could restraint help in our home or school?	What gentle response will we choose this week?
S095	What contrasts did you hear between Saul and David?	What does it show about seeking God first?	Where are we tempted to take shortcuts?	What practice will help us seek God first?
S096	What did David do when he heard the news?	What does lament teach us about grief?	Where do we need space to be sad and honest?	What simple prayer of lament will we say?
S097	What steps led to David becoming king?	What do we learn about waiting and promise?	Where are we waiting for God’s timing?	What patient habit will we keep this week?
S098	What promises stood out to you?	What does this show about God’s grace?	Where do promises give us hope today?	What promise of God will we repeat this week?
S099	What victories were given here?	What keeps success humble and thankful?	Where can we give God credit for wins?	What thanks will we give after a win this week?
S100	What warning signs did you notice?	What do we learn about sin and confession?	Where could small wrongs grow bigger?	What guardrail will we set as a family?
S101	What seeds of division were planted?	What do we learn about flattery and ambition?	Where do we see these hurts around us?	What peacemaking step will we take?
S102	What choices pushed the conflict forward?	What do we learn about listening to wise counsel?	Whose wise voice should we hear this week?	What step will we take to ask for advice?
S103	What actions moved things toward peace?	What does this teach about mercy and unity?	Where do we need repair in a relationship?	What first step toward repair will we take?
S104	What highs and lows did you hear?	What does it teach about finishing well?	Where do we need to finish something faithfully?	What finish‑well step will we take this week?
S105	What made this a hard transition?	What does a good start look like here?	Where are we starting something new?	What first step of wisdom will we take?
S106	What did Solomon ask God for?	What does God value in that request?	Where do we need discernment right now?	What daily habit will help us grow in wisdom?
S107	What effort and care went into the work?	What does excellence in serving God look like?	Where can we do careful, quality work?	What quality step will we take on a task?
S108	What prayers or praises stood out?	What does God’s presence mean for people?	How can we dedicate a space or time to God?	What short prayer of dedication will we pray?
S109	What pulled Solomon’s heart away?	What warning do we see about drift?	Where could comfort pull us off course?	What course correction will we make today?
S110	What words and choices caused the split?	What does this show about pride and listening?	Where do stubborn words hurt our home?	What listening step will we practice this week?
S111	What patterns kept repeating?	What do we learn about legacy and compromise?	What patterns do we want in our family?	What good pattern will we begin today?
S112	What bold moments did Elijah have?	What do we learn about loyalty to God?	Where do we face mixed loyalties?	What faithful choice will we make this week?
S113	What highs and lows did Elijah feel?	How did God care for him in weakness?	Where do we feel tired or afraid?	What rest or prayer step will we take?
S114	What injustice did you hear about?	What does God say about truth and justice?	Where can we stand up kindly for what’s right?	What careful truth will we speak this week?
S115	What alliances and choices stood out?	What do they teach about partnership and trust?	Who influences us most right now?	What boundary or choice will keep us wise?
S116	Which personal stories touched you?	What do we learn about compassion and faith?	Who near us needs quiet help?	What simple help will we give this week?
S117	What bigger events were in this reading?	What does this show about God’s reach?	Who is outside our usual circle?	What welcome step will we take toward them?
S118	What judgments and reforms happened?	What do we learn about zeal and motives?	Where do we need zeal with wisdom and love?	What focused good step will we take?
S119	What dangers and rescues appeared?	What does this show about courage and covenant?	What good thing should we protect right now?	What safeguard will we put in place?
S120	What mixed stories of leadership did you hear?	What does partial obedience lead to?	Where do we stop short of good?	What completion step will we take this week?
S121	What choices led to decline?	What warnings do you notice about drift?	Where do lesser loves pull our hearts?	What re‑centering step will we take today?
S122	What prayers or miracles stood out?	What shows trust under pressure?	Where are we under pressure now?	What prayer will we pray before acting?
S123	What contrasts did you see among these kings?	What do we learn about repentance and renewal?	Where do we need a fresh start?	What first step toward change will we take?
S124	What warnings were ignored?	What does this teach about sowing and reaping?	Where are we ignoring wise advice?	What listening change will we make this week?
S125	What names or notes caught your eye?	What does long memory say about identity?	Who passed faith to us?	How will we thank or honor them?
S126	What roles or tribes were highlighted?	What do you notice about calling and skill?	Where do we fit in our community’s work?	What part will each of us play this week?
S127	What repeating details did you see?	What does this say about God’s steady care?	How does belonging shape our choices?	Who will we encourage for faithfulness?
S128	What transitions happened here?	What do grief and honor look like together?	Where are we between an ending and a beginning?	What anchor practice will keep us steady?
S129	What reactions to God’s presence did you hear?	What do reverence and joy look like together?	How can reverence and joy meet in our home?	What worship habit will we practice?
S130	What promises and wins stood out?	What do they show about God’s help?	Where can gratitude replace self‑credit?	What praise will we give after work well done?
S131	What mistake and mercy appeared?	What do we learn about confession and planning?	Where do we need to admit wrong and adjust?	What correction step will we take this week?
S132	What roles were set in place?	What does this show about shared service?	Where could better structure help us?	What simple system will we set up?
S133	What responsibilities stood out?	What do we learn about teamwork and trust?	Where should we ask for help to do better?	What team step will we take this week?
S134	What resources and partners were gathered?	What does this teach about vision and teamwork?	Where do we need partners to build good things?	What clear ask will we make this week?
S135	What moments of dedication moved you?	What does this show about God keeping promises?	How can we dedicate our work to God?	What simple prayer will we offer today?
S136	What achievements were listed?	What priorities and pitfalls come with success?	How will we keep worship above success?	What practice will keep our hearts centered?
S137	What counsel did he hear and choose?	What do we learn about pride and listening?	Where have we ignored good advice?	What listening habit will we practice first?
S138	What battles or prayers stood out?	What does relying on God in crisis look like?	Where can we rely on God instead of panic?	What prayer‑first step will we take?
S139	What alliances and prayers marked his reign?	What does seeking God before battle teach?	Where should we pray before we plan?	What first prayer will start our plan?
S140	What dangers and rescues happened?	What does this show about God preserving good?	What good has God trusted us to guard?	What protective step will we take?
S141	What patterns did you notice across kings?	What warning do you see about pride?	Where could pride creep into our strengths?	What humble safeguard will we set?
S142	What renewals stood out to you?	What does this show about trust and worship?	Where do we need to renew a good habit?	What renewal step will we take this week?
S143	What swings between faith and evil appeared?	What do we learn about judgment and mercy?	Where do we need hope that change is possible?	What first step toward change will we take?
S144	What discovery in Josiah’s time was key?	What does Scripture do to reshape people?	Where could Scripture re‑center our week?	When will we read and respond each day?
S145	What first steps happened on returning?	What does rebuilding worship teach?	Where do we need to rebuild something good?	What first brick will we lay this week?
S146	What kinds of pushback showed up?	What helped them keep going?	Where are we discouraged while doing good?	What steady step will we take despite pushback?
S147	What focus did Ezra bring?	What does setting your heart to learn and do mean?	How can we set our hearts to God’s word?	What small plan will we start this week?
S148	What problem was faced and owned?	What does real repentance look like?	Where do we need honest attention to a habit?	What clear turn back will we make?
S149	What burden and plan did Nehemiah carry?	What does prayerful planning teach?	Where do we sense a burden to own?	What first move will we make in prayer?
S150	What tactics tried to stop the work?	What kept people focused?	Where do distractions pull us off good work?	What focus step will we take this week?
S151	What practices restored joy and identity?	What do confession and celebration do together?	What rhythm helps our hearts after stress?	What rhythm will we begin this week?
S152	What commitments stood out to you?	What does accountability with worship look like?	Where do we need support to keep good habits?	What accountability step will we set up?
S153	What unlikely turns did you hear?	What does this suggest about purpose where we are?	Where can our place help others now?	What step will we take to serve here?
S154	What risks and choices shaped the rescue?	What do we learn about courage and timing?	Where might we need to speak up kindly?	What respectful step will we take this week?
S155	What losses and responses began Job’s story?	What do we learn about honest lament?	Where do we need room to bring pain to God?	What simple prayer will we say together?
S156	What advice did friends give?	What are the limits of quick answers?	How can we be better friends to the hurting?	What gentle action will we take for someone?
S157	What accusations appeared here?	What hope did Job still hold?	Where are we holding on without full answers?	What small trust step will we take today?
S158	What themes of justice and protest showed up?	What did Job claim about integrity?	Where do we long for fairness now?	What honest request will we bring to God?
S159	What final defenses did Job make?	What does it mean to search our hearts with God?	Where do we need to check our motives?	What next step will we take after reflection?
S160	What new angles did Elihu bring?	What does he say about God as teacher?	Where could we welcome correction?	What listening step will we practice this week?
S161	What pictures of God’s power moved you?	What does humility before mystery do in Job?	Where can we trust God without full answers?	What act of trust will we choose this week?
S162	What lines stayed with you?	What portraits of the righteous and wicked appeared?	How do these touch our choices at school or home?	What prayer or verse will we carry this week?
S163	What cries or praises stood out?	What do we learn about God’s nearness in trouble?	Where do we need help this week?	What one‑sentence prayer will we pray?
S164	What images of God spoke to you?	What do these say about guidance and trust?	How will we practice trust in a situation now?	What verse will we keep on a note card?
S165	What testimonies or laments did you hear?	What do we learn about fear and praise?	What fear do we need to name before God?	What step of praise will we take today?
S166	What refrains or longings did you notice?	What does it mean to thirst for God?	Where do we feel dry or discouraged?	What simple practice will help us seek God?
S167	What contrasts between plotting and trusting stood out?	What responses of faith showed up in hard times?	Where are we tempted to strike back?	What trusting response will we choose instead?
S168	What pictures of creation and blessing did you hear?	What do we learn about justice and mercy?	Who can we pray for in leadership?	What short prayer will we offer this week?
S169	What struggles with envy or doubt appeared?	What changed when the writer met with God?	Where does comparison steal our joy?	What gratitude step will we take today?
S170	What history or warnings were retold?	What lessons should we remember and share?	What story of God’s help can we pass on?	Who will we tell and when this week?
S171	What songs of longing and praise stood out?	What do you notice about God’s faithfulness?	Where do we want to sense God in daily life?	What small practice will help us draw near?
S172	What calls to worship and trust did you hear?	What do these psalms say about God’s reign and care?	How could praise point others to God?	What short praise line will we repeat this week?
S173	What commitments and confessions appeared?	How do these psalms remember God’s works?	What commitment do we need to renew?	What step will help us keep it this week?
S174	What patterns of rescue and thanks came up?	What does it mean to fear the Lord daily?	Where did God help us recently?	Who will we thank or encourage because of it?
S175	What themes of praise and trust did you hear?	How does God lift the humble?	Where do we need humility when seen or praised?	What simple thanks will we offer today?
S176	What lines about God’s word stood out?	What value does Scripture bring to life?	How can we weave Scripture into our day?	What practice will we start (read, memorize, reflect)?
S177	What pilgrim songs or thankful lines did you like?	What do they say about steadfast love?	What journey needs God’s help now?	What short prayer will we pray along the way?
S178	What strong feelings and praises were together?	What does bringing our whole heart to God look like?	Where do we need to bring big feelings to prayer?	What honest step will we take with God?
S179	What reasons to praise filled these psalms?	Who is invited to praise and how?	How could praise shape our routines?	What one way will we practice praise this week?
S180	What contrasts between wisdom and folly stood out?	What is the value of listening and correction?	Where do we most need wisdom for a choice now?	What step will we take to seek counsel this week?
S181	Which sayings or pictures stood out to you?	What do they teach about wise and foolish choices?	Where do we need this wisdom right now?	What step will we take to walk wisely this week?
S182	What themes repeat in these proverbs?	What do they say about words and choices?	Where do our words need more care?	What speaking habit will we practice this week?
S183	Which contrast was most striking to you?	What does it reveal about the heart?	Where do our habits guide our path?	What small good habit will we start today?
S184	What counsel or warning helped you most?	What do these sayings teach about friendship and correction?	Where do we need honest feedback?	Who will we invite to speak into our life?
S185	What do these proverbs value most?	What do they teach about work and laziness?	Where do we need steady effort this week?	What daily step will we repeat together?
S186	Which proverb fits our life today?	What wisdom does it give about temptation?	Where do we face that temptation now?	What boundary will we keep this week?
S187	What struggles with meaning did you notice?	What does the writer say about work and pleasure?	Where do we chase things that do not satisfy?	What practice will help us enjoy God’s gifts wisely?
S188	What tensions did you hear between joy and limits?	What does it mean here to fear God?	How could reverence shape our plans this week?	What simple joy will we receive with thanks?
S189	What words about love and promise did you hear?	What does this poem value in relationships?	How can we show respect and kindness in our home?	What boundary or habit will help us honor others?
S190	What charges and hopes were named?	What does God want from His people here?	Where must justice and worship meet in us?	What act of kindness or fairness will we do?
S191	What part of Isaiah’s vision stood out?	What does holy mean in this chapter?	How does God’s call meet our weakness?	What yes to God will we give this week?
S192	What warnings and promises did you notice?	What does Emmanuel’s reign look like?	Where do we long for that kind of peace?	How will we live under that hope today?
S193	Which nations were addressed, and why?	What does God judge among the nations?	Where do we see pride or cruelty today?	What prayer or action for justice will we take?
S194	What patterns repeat across these prophecies?	What do idols promise but fail to give?	Where are we tempted by false security?	What will we trust God with this week?
S195	What signs of judgment and rescue appeared?	What does this teach about God’s rule?	Where do we need hope in hard news?	What faithful step will we take today?
S196	What themes continued from before?	What do we learn about pride and trust?	Where do we rely on our own strength?	How will we depend on God this week?
S197	What future hope is described here?	What does God promise to His people?	Where do we need courage now?	What step will show our trust in that promise?
S198	What rescue and what mistake did you hear?	What do they teach about trust and pride?	Where could success make us drift?	What humble guard will we set this week?
S199	What images of God’s power stood out?	How are idols different from the Lord?	Where do we feel weak or afraid now?	What truth from here will we hold to?
S200	What marks the Servant’s mission?	What contrasts appear between God and idols?	Where do we need gentle justice and healing?	What response of trust will we offer today?
S201	What did God say about Cyrus and history?	What does this show about God’s control?	Where do we struggle to see God at work?	What patient trust will we practice this week?
S202	What roles of the Servant are highlighted?	What hope is offered to the tired?	Where do we feel called to serve others?	What small servant step will we take today?
S203	What suffering and victory are described?	What does this say about God’s way to save?	How does this shape our view of Jesus?	How will we respond to this grace this week?
S204	What kind of fasting and justice does God want?	What promises follow humble repentance?	Where could we practice true fasting now?	What act of mercy will we choose this week?
S205	What pictures of judgment and renewal appear?	What hope is given to God’s servants?	Where do we need that hope for the future?	What step will align us with God’s future today?
S206	What parts of Jeremiah’s call stood out?	What did God promise him?	Where do we fear speaking truth?	What brave, kind step will we take this week?
S207	What sins were named here?	What did God warn would happen?	Where are similar roots in our world?	What turn‑back step will we take today?
S208	What false trusts were exposed?	What does true worship require?	Where do we act without heart?	What honest change will we seek this week?
S209	What covenant failures were described?	What do they show about stubborn hearts?	Where do we resist God’s ways?	What practice will help us return to Him?
S210	What shows God’s reluctance to judge?	What does this teach about sin’s harm?	Where do we downplay hurtful choices?	What wise limit will we set this week?
S211	What signs of mercy appeared?	What conditions were given for return?	Where do we see God opening a door?	What step will we take through that door?
S212	What opposition did Jeremiah face?	How did he respond under pressure?	Where do we need courage to keep going?	What support will we seek this week?
S213	Which leaders were addressed and why?	What does God require of leaders?	Where do we lead in small ways?	What leader habit will we practice this week?
S214	What conflict over truth did you hear?	What marks a true message?	Where do we need discernment in voices we hear?	What test of truth will we use this week?
S215	What hope was given to the exiles?	What did the new covenant promise?	Where do we need hope in a long season?	What patient practice will we adopt this week?
S216	What action did Jeremiah take by faith?	What does this show about hope in crisis?	Where can we act now toward a future good?	What small investment will we make this week?
S217	What covenants were compared?	What faithfulness was praised?	Where do we need to keep our word?	What promise will we honor this week?
S218	What trials continued for Jeremiah?	What kept him faithful under pressure?	Where are we tired of doing good?	What perseverance step will we take today?
S219	What scenes marked the fall of the city?	What do you learn about consequences and grief?	Where do we see the cost of ignoring warnings?	What wise change will we make now?
S220	What choices led toward Egypt?	What do they show about fear and trust?	Where do fear‑based choices tempt us?	What trust choice will we make this week?
S221	What judgments were announced?	What does this teach about God’s justice?	Where do we long to see justice today?	What prayer for justice will we offer?
S222	What further judgments were declared?	What reasons were given for them?	Where do we see the same roots of harm?	What step will we take toward repair?
S223	What fate awaited Babylon here?	What does this say about pride and power?	Where do we trust in image or status?	What humble action will we choose today?
S224	What closing notes ended Jeremiah’s book?	How did the ending confirm earlier warnings?	What lesson will we keep from this book?	What practice will help us remember it?
S225	What images of grief stood out?	What do they teach about sin and sorrow?	Where do we need to lament honestly?	What prayer of lament will we bring to God?
S226	What turns toward hope appeared?	What was remembered about God’s mercy?	Where do we need hope to rise again?	What daily mercy reminder will we keep?
S227	What part of the vision stayed with you?	What does God’s glory communicate here?	How does awe change our daily life?	What practice will help us live with awe?
S228	What actions did Ezekiel act out?	What message did they send?	Where do we need a wake‑up call today?	What change will we make before day’s end?
S229	What reasons were given for God’s departure?	What do we learn about idolatry and God’s presence?	Where do we crowd out God in daily life?	What will we remove to make room for Him?
S230	What signs of exile were acted out?	What do they reveal about stubborn hearts?	Where do warnings fail to move us?	What step of humble listening will we take?
S231	What strong pictures describe unfaithfulness?	What do they show about covenant love?	Where do we treat promises too lightly?	What faithful act will we choose this week?
S232	What images of judgment and sorrow stood out?	How do justice and mercy both appear here?	Where do we need both truth and kindness?	What wise blend will we practice this week?
S233	What history of rebellion was recalled?	What does this reveal about God’s patience?	Where are we repeating old mistakes?	What new path will we take starting today?
S234	What hard pictures are used to confront sin?	What do they say about betrayal and result?	Where do we see broken trust today?	What faithful repair can we begin this week?
S235	Which nations were addressed here?	What lessons are there about pride and harm?	Where must we resist contempt for others?	What respectful action will we take today?
S236	What judgments fell on Egypt’s pride?	What does this reveal about false strength?	Where do we lean on fragile supports?	What stronger trust will we practice this week?
S237	What was Ezekiel’s watchman role?	What responsibility did he have to warn?	Where should we speak up with care and truth?	What careful word will we share this week?
S238	What shepherd images showed God’s care?	What promises of renewal were given?	Where do we need that shepherding now?	What step will we take to receive His care?
S239	What visions of new life appeared?	What do they show about God’s Spirit and future?	Where do we hope to see renewal?	What act of hope will we practice this week?
S240	What details of the measured temple stood out?	What do order and holiness communicate?	Where do boundaries help us meet with God?	What boundary will we honor this week?
S241	What moment marked the return of glory?	What does this mean for worship and life?	Where do we sense God rebuilding our hearts?	What worship response will we bring this week?
S242	What roles and rhythms filled this vision?	What do special times teach about community?	Which rhythm could shape our week well?	What time will we guard for God this week?
S243	What life‑giving images stood out?	What do they show about God with His people?	Where do we long to see healing flow?	What step will we take toward that healing?
S244	What pressures tested Daniel and friends?	What choices kept them faithful?	Where do we need resolve in a hard place?	What faithful practice will we keep this week?
S245	What rescues and humblings happened?	What do they show about God’s rule?	Where do we need courage to stand firm?	What bold yet kind step will we take?
S246	What warning showed up at the feast?	What does Daniel’s witness show under threat?	Where could integrity cost us something?	What choice will we make to stay faithful?
S247	What visions or themes stood out?	What do they teach about God’s final rule?	Where do we need endurance and hope?	What practice will help us endure this week?
S248	What insights about future conflicts appeared?	What does this say about unseen struggle?	Where do we feel outmatched or anxious?	What prayer will we keep in those moments?
S249	What signs of steadfast love did you hear?	What did unfaithfulness cost in this story?	Where do we return to lesser loves?	What turn back to God will we make today?
S250	What calls to return were heard?	What does God promise to people who come back?	Where do we need to come home to God?	What practical step will we take today?
S251	What pictures describe the Day of the Lord?	What responses does God invite?	Where do we need a full‑heart return to God?	What act of repentance will we practice now?
S252	What injustices were called out?	What does God want instead of empty worship?	Who near us needs us to do what is right?	What just action will we take this week?
S253	What visions did Amos receive?	What hope remained after judgment?	Where do we need both truth and hope today?	What step will we take to seek both together?
S254	What was Edom judged for?	What warning do we see about pride and gloating?	Where are we tempted to cheer others’ falls?	What humble compassion will we show instead?
S255	What surprised you in Jonah’s story?	What does God’s mercy to Nineveh reveal?	Who is hard for us to show mercy to?	What merciful step will we take this week?
S256	What charges and hopes appear in Micah?	What does God require of His people?	Where can we do justice and love mercy now?	What humble step will we take this week?
S257	What laments and promises were together?	What hope did Micah hold for the future?	Where do we need that hope today?	What prayer of hope will we pray this week?
