Small Group CSV for all 365 stories.				
				
				
storyCode	question1	question2	question3	question4
S065	Which choices and outcomes are contrasted again here?	What does the passage teach about a life’s direction over time?	Where are your current choices leading you?	What course correction will you make today and how will you track it?
S066	What invitation and warning are presented?	What does choosing life look like on the ground?	Where do you need to choose life over lesser options?	What life‑giving step will you take by mid‑week?
S067	Which transition moments stand out?	What do they show about leadership handoff and praise?	Who could you empower to step into responsibility?	What encouragement or task will you entrust to them this week?
S068	What blessings and farewells are given?	What do they reveal about God’s faithfulness to the end?	How will ‘finishing well’ shape your current season?	What finishing step will you complete or delegate this week?
S069	Which words to Joshua are most pivotal?	What does strength and courage look like here?	Where do you need courage to obey in your setting?	What practice (meditation, memo, reminder) will you use daily this week?
S070	What acts of trust mark the strategy and march?	What does the passage show about God’s ways versus ours?	Where might unusual obedience be your next right step?	What specific step will you take that looks small but faithful?
S071	What factors contribute to the setback?	What does the account teach about hidden sin and communal impact?	Where could secrecy be harming trust?	What appropriate, accountable step will you take to address it this week?
S072	What progress and gaps are recorded?	What does steady obedience over time require?	Where do you need follow‑through, not just intentions?	What next step will you calendar before you sleep tonight?
S073	What boundaries and portions are described?	What do they teach about order, equity, and contentment?	Where would clarity of roles help your team or home?	What role or expectation will you clarify in writing this week?
S074	What distribution patterns continue and why?	What values guide the allotments you see?	Where can you practice fairness when resources are limited?	What fair decision will you make and communicate this week?
S075	What remaining needs are addressed?	What does the closeout teach about completing assignments?	Where have you left something half‑done?	What deliverable will you finish and report done this week?
S076	What reminders and warnings does Joshua give?	What do they teach about loyalty and drift?	Where are you tempted to gradual compromise?	What guardrail will you put in place within 24 hours?
S077	What cycle do you observe across this section?	What does it reveal about habits and the heart?	Where do you notice this cycle in modern life?	What early interrupting step will you practice this week?
S078	Which leaders or moments affected you most?	What do these stories suggest about God using unlikely people?	Where might your unique strengths serve others now?	What specific service action will you take this week?
S079	What doubts, signs, and choices shape Gideon’s path?	What does the text show about courage in weakness?	Where do you need courage to act with limited resources?	What small but brave step will you take in the next two days?
S080	What warning signs appear in Abimelech’s rise?	What does the narrative teach about ambition and accountability?	Where could power plays damage trust in your context?	What accountability practice will you adopt this week?
S081	What stands out about vows and speech?	What are the risks of rash promises in relationships and leadership?	Where do your words need greater wisdom and pace?	What speaking limit or pause rule will you use this week?
S082	What strengths and vulnerabilities define Samson here?	What does the passage teach about calling and compromise?	Where are you strong yet prone to drift?	What safeguard (person, filter, schedule) will you set this week?
S083	Which scenes display moral confusion?	What does life look like without a true guide?	Where do you see ‘everyone does what they want’ shaping culture?	What one guiding truth will you hold to in a live decision this week?
S084	What further examples deepen the concern?	What does the section say about justice and communal harm?	Where could you be a protective presence for someone at risk?	What protective step will you take within your reach this week?
S085	Which choices by Ruth and Boaz mark loyal love?	What do their actions model for workplace and family ethics?	Where could loyal kindness shift a tense situation?	What concrete kindness will you show to a specific person this week?
S086	What signs show God’s presence with Samuel?	What does listening and responding look like here?	Where do you need to make space to hear before you act?	What listening practice (time, place, device rule) will you try daily this week?
S087	What reasons do the people give for wanting a king?	What does this reveal about comparison, fear, and trust?	Where do you feel pressured to copy others rather than obey God?	What counter‑cultural choice will you make this week?
S088	What moments mark Saul’s start?	What do humility and signs of calling look like in the text?	Where could humility strengthen your leadership or followership?	What humble practice will you choose in one meeting this week?
S089	What choices display folly under pressure?	What does the passage teach about impatience and image management?	Where do deadlines or appearances drive poor decisions?	What pause or review habit will you insert before key decisions this week?
S090	What contrasts appear between Saul and David?	What does ‘God looks at the heart’ call out in leadership culture?	Where are you tempted to value surface over substance?	What heart‑level practice (hidden service, private prayer, truth‑telling) will you do this week?
S091	Which moments of courage or fear stand out in this passage?	What does the narrative highlight about what God values in a leader?	Where do you face an oversized challenge that tests your trust?	What specific step of faith will you take toward that challenge this week?
S092	What tensions shape the relationships among Saul, David, and Jonathan?	What does this reveal about loyalty, envy, and trust?	Where could loyal friendship or teamwork push back against jealousy?	What tangible act of loyalty will you show to one person this week?
S093	Which choices does David make while under pressure?	What do those choices show about fear, wisdom, and dependence on God?	Where do you need wisdom before reacting in a tense setting?	What pause‑then‑act practice will you use before a hard conversation this week?
S094	Where is David tempted to get even, and what does he do?	What does his restraint teach about honor and patience?	Where could restraint break a cycle of escalation in your world?	What gracious response will you choose if you’re provoked this week?
S095	What contrasts are drawn between Saul’s fear and David’s posture?	What does the text show about seeking God versus quick fixes?	Where are shortcuts tempting you in work or relationships?	What concrete seek‑God‑first step will you build into a decision this week?
S096	What actions and words mark David’s lament?	What does lament teach about leadership, grief, and honor?	Where do you need room to grieve or honor a loss well?	What simple practice of lament (write, pray, speak thanks) will you do this week?
S097	What steps move David from waiting to kingship?	What does the passage show about timing, promise, and patience?	Where is waiting shaping your character right now?	What faithful habit will you maintain during this waiting week?
S098	Which promises are central in this chapter?	What do they reveal about God’s kingdom and grace?	How could promise‑based hope steady you under pressure?	What hope reminder will you rehearse daily (card, alarm, phrase) this week?
S099	What victories are highlighted, and how are they framed?	What safeguards keep success humble and God‑centered here?	Where do you need to credit God rather than self?	What gratitude action (note, testimony, gift) will you do after a ‘win’ this week?
S100	What early warning signs lead toward the failure?	What does the narrative show about sin, exposure, and consequence?	Where could a small compromise grow into greater harm?	What guardrail will you set (filter, partner, limit) before week’s end?
S101	What seeds of division start to appear?	What does this reveal about flattery, ambition, and influence?	Where do subtle power plays show up around you?	What peacemaking or truth‑in‑love step will you take this week?
S102	Which decisions escalate the conflict?	What do you observe about counsel, pride, and listening?	Whose wise voice should you invite before you decide?	What concrete step will you take to seek and heed wise counsel this week?
S103	What actions move the story toward restoration?	What balance of mercy and justice do you see?	Where is restoration needed in a group or relationship you’re in?	What first repair step (apology, restitution, meeting) will you take this week?
S104	What highs and lows mark this period?	What does it suggest about finishing with humility and trust?	Where do end‑of‑season choices matter most for you now?	What ‘finish‑well’ action will you complete or delegate this week?
S105	What challenges surround the transition?	What does a wise beginning look like here?	Where are you entering a new responsibility or season?	What first wisdom step (mentor call, plan, prayer) will you take this week?
S106	What request defines Solomon’s start?	What does God’s response value in leadership?	Where do you most need discernment right now?	What daily practice will you adopt for wisdom (read, reflect, ask) this week?
S107	What effort, planning, and skill stand out?	What does this communicate about excellence in worship and work?	Where could quality and care honor God in your craft?	What one quality‑improvement step will you take on a task this week?
S108	What themes surface in the dedication prayer?	What does God’s presence mean for the community’s life?	Where could you dedicate a space or routine to God?	What brief prayer of dedication will you pray over a specific place this week?
S109	What turned Solomon’s heart over time?	What warnings do you see about drift and divided loyalties?	Where might comfort be dulling your devotion?	What course‑correction will you make today and share with a partner?
S110	What words and choices trigger the split?	What do you learn about listening, pride, and consequences?	Where could stubborn speech be dividing your team or family?	What listening step (delay, summarize, invite) will you practice this week?
S111	What patterns repeat across these reigns?	What do they reveal about compromise, reform, and legacy?	Which pattern do you want to avoid or cultivate in your sphere?	What single practice will you adopt to shape a better legacy this week?
S112	What confrontations and faith moments strike you?	What does this reveal about loyalty to the true God?	Where do competing loyalties pressure your decisions?	What concrete step will you take to choose faithfulness this week?
S113	What highs and lows does Elijah experience?	How does God meet him in weakness and fear?	Where do you feel depleted or discouraged now?	What rest or obedience step will you schedule to recover this week?
S114	What injustices or abuses of power appear?	What does God signal about truth, justice, and authority?	Where do you see misuse of power that needs wise response?	What courageous, careful truth‑telling step will you take this week?
S115	Which alliances and choices stand out?	What do they reveal about partnership, risk, and trust?	Where do your alliances shape your walk with God?	What boundary or alignment step will you take this week?
S116	Which personal stories moved you?	What do you observe about compassion, faith, and God’s care?	Who near you needs quiet, concrete help?	What specific act of care will you offer this week?
S117	What international tensions and interventions appear?	What does this show about God’s reach beyond our circle?	Who is outside your usual networks that you could bless?	What one step toward them will you take this week?
S118	What judgments and reforms unfold?	What do you learn about zeal, obedience, and motives?	Where do you need zeal guided by wisdom and love?	What focused good will you do this week, with wise boundaries?
S119	What threats and rescues mark this era?	What does this say about courage, protection, and covenant?	What good thing has God entrusted to you that needs guarding?	What protection measure will you put in place this week?
S120	What mixed leadership records do you see?	What does partial obedience produce over time?	Where do you tend to stop short of what is good?	What completion step will you take and report by next meeting?
S121	What choices lead toward decline?	What warnings about idolatry and drift appear?	Where do lesser loves pull your heart?	What re‑centering practice will you implement today?
S122	Which reforms, prayers, or deliverances stand out?	What shows trust under threat and pressure?	Where are you facing pressure that tests your faith?	What prayer‑before‑action step will you take this week?
S123	What contrasts emerge among these kings?	What do you learn about repentance, renewal, and legacy?	Where do you need a clean restart with God?	What first repentance or renewal step will you take this week?
S124	Which warnings were ignored and with what results?	What does this reveal about sowing, reaping, and stubborn hearts?	Where might you be ignoring wise counsel now?	What listening change will you practice this week?
S125	Which names or notes catch your attention and why?	What does this long memory suggest about identity and promise?	Who has handed down faith or wisdom to you?	What thanks or honor will you express to that person/family this week?
S126	What roles or tribes are highlighted?	What do you notice about calling, skill, and service?	Where do you fit in your community’s shared work?	What role‑affirming step will you take this week?
S127	Which repeating details do you notice?	What does this suggest about God’s steady care?	How does belonging shape your current choices?	Whom will you encourage for quiet faithfulness this week?
S128	What transitions and responses unfold?	What do grief, honor, and hope look like together here?	Where are you living between an ending and a beginning?	What anchoring practice will you hold to each day this week?
S129	What responses to God’s presence appear?	What do reverence and joy together look like in the text?	Where could reverence and joy meet in your routines?	What worship habit will you practice this week (time, place, act)?
S130	What promises and victories are emphasized?	What do they say about God’s initiative and help?	Where can gratitude replace self‑credit in your life?	What praise step will you take after work well done this week?
S131	What failure and mercy appear?	What do you learn about confession, wisdom, and planning?	Where do you need to admit wrong and adjust your plan?	What correction step will you take and communicate this week?
S132	What organization and roles are established?	What does this show about shared service and order?	Where could better structure help your group or household?	What one system will you set up or simplify this week?
S133	Which roles and responsibilities stand out?	What do you learn about stewardship, trust, and teamwork?	Where should you delegate or ask for help to improve?	What team step will you take before the weekend?
S134	What resources and partnerships are gathered?	What does this teach about vision, planning, and collaboration?	Where do you need partners to build something good?	What clear ask will you make of a partner this week?
S135	What moments of dedication or worship are moving?	What does this reveal about God’s faithfulness to promises?	How can you dedicate your work or home to God this season?	What simple dedication prayer or act will you offer this week?
S136	Which achievements are recorded?	What priorities and pitfalls accompany accomplishment?	How will you keep worship above achievement?	What centering practice will you schedule daily this week?
S137	What counsel did he receive and choose?	What does this show about pride, humility, and listening?	Where have you dismissed good advice too quickly?	What listening habit (questions, delay, summary) will you use this week?
S138	What battles, reforms, or prayers stand out?	What does reliance on God in crisis look like here?	Where could you rely on God rather than panic?	What prayer‑first step will you take under pressure this week?
S139	What alliances and prayers mark his reign?	What does seeking God before battle teach?	Where do you need to pray before you plan?	What first prayer will begin your planning this week?
S140	What dangers and rescues appear?	What does this show about God preserving His purposes?	What good has God entrusted to you to guard?	What protective step will you take this week?
S141	What patterns emerge among these kings?	What warnings do you see about pride and drift?	Where could pride creep into your strengths?	What humble safeguard will you put in place this week?
S142	Which renewals and reforms stand out?	What do they reveal about trust, worship, and courage?	Where do you need to renew a good habit with God?	What renewal step will you schedule this week?
S143	What swings between faith and evil do you notice?	What do you learn about judgment, repentance, and mercy?	Where do you need hope that change is possible?	What first step toward change will you take this week?
S144	What discovery in Josiah’s time is pivotal?	What does Scripture do to reshape a people?	Where could Scripture re‑center your week?	What daily time will you set to read and respond?
S145	What first steps happen as people return?	What does rebuilding worship teach after setback?	Where do you need to rebuild something that matters?	What first brick will you lay this week toward that rebuild?
S146	What kinds of opposition arise?	What keeps the people steady through resistance?	Where do you face discouragement while doing good?	What steady step will you take despite pushback this week?
S147	What focus does Ezra bring?	What does setting the heart to study and do look like?	How can you set your heart to learn and live God’s word now?	What small plan will you start and share this week?
S148	What problem is confronted, and how do people respond?	What does real repentance look like in the passage?	Where do compromises need honest attention?	What concrete turn‑back step will you take this week?
S149	What burden and plan shape Nehemiah’s work?	What does prayerful planning teach for hard tasks?	Where do you sense a burden you should own?	What first move will you make with prayer and a plan this week?
S150	What tactics of opposition appear?	What helps the builders stay focused?	Where do distractions pull you off important work?	What focus practice (block time, mute, door) will you use this week?
S151	What practices restore identity and joy?	What do confession and celebration do together?	What rhythm helps restore your heart after stress?	What restoration rhythm will you build into this week?
S152	What commitments stand out?	What do you observe about accountability and worship?	Where do you need support to sustain good commitments?	What accountability step will you set up this week?
S153	What unlikely openings or turns do you see?	What does this suggest about providence and purpose?	Where can your position bless others now?	What concrete step will you take to serve where you are?
S154	What risks and decisions shape the rescue?	What does the text teach about courage and timing?	Where might you need to speak up wisely for someone?	What respectful action will you take this week?
S155	What losses and responses begin Job’s story?	What do you learn about honest lament and faith?	Where do you need room to bring pain to God?	What simple, spoken prayer of lament will you offer this week?
S156	What counsel do Job’s friends give, and what are its limits?	What does the section show about quick answers and real comfort?	How can you be a better friend to someone hurting?	What gentle support step will you take (listen, meal, note) this week?
S157	What accusations or claims appear here?	What do you observe about Job’s hope amid confusion?	Where are you holding on without full understanding?	What small trust practice will you choose today?
S158	What themes of justice and protest run through this section?	What does Job claim about integrity before God?	Where do you long for fairness or clarity now?	What honest request will you bring to God this week?
S159	What final defenses or self‑examination does Job make?	What does it mean to search the heart with God?	Where do motives need review in your life or work?	What next step will you take after reflection (adjust, confess, decide)?
S160	What new angles or corrections does Elihu offer?	What does he say about God’s greatness and teaching?	Where could you welcome correction or fresh insight?	What listening step will you practice in one meeting this week?
S161	What images of God’s power move you?	What does humility before mystery produce in Job?	Where can you trust God without complete answers?	What act of trust will you choose and note this week?
S162	Which lines from these psalms stay with you?	What portraits of the righteous and wicked appear?	How do these portraits intersect with your choices right now?	What daily prayer or verse will you carry and repeat this week?
S163	What cries or praises stand out?	What do you learn about God’s nearness in trouble?	Where do you need help or strength this week?	What one‑sentence prayer will you pray at start and end of each day?
S164	What images of God (shepherd, rock, shield) speak to you?	What do these psalms say about guidance and trust?	How will you practice trust in one concrete situation?	What verse will you place where you’ll see it daily this week?
S165	What testimonies or laments do you notice?	What do you learn about fear, refuge, and praise?	What fear needs naming before God?	What step of praise or seeking help will you take today?
S166	What repeated refrains or longings did you observe?	What does it mean here to thirst for God?	Where do you feel spiritually dry or discouraged?	What simple seek‑God practice will you add for seven days?
S167	What contrasts between plotting and trusting appear?	What responses of faith show up under pressure?	Where are you tempted to retaliate or despair?	What trusting, non‑retaliating response will you choose this week?
S168	What pictures of creation and blessing caught your eye?	What do you learn about justice, mercy, and the King?	How will you pray for leaders and communities this week?	What specific, short intercession will you pray daily?
S169	What struggles with envy or doubt appear?	What shifts when the psalmist enters God’s presence?	Where does comparison steal your joy?	What gratitude step will you practice to reframe your perspective this week?
S170	What history or warnings are retold?	What lessons are we meant to remember and pass on?	What story of God’s help could you share with someone younger?	Who will you tell, and when, this week?
S171	What songs of longing and praise stood out?	What do you notice about God’s faithfulness to promises?	Where do you long to sense God’s presence in ordinary life?	What small draw‑near practice will you add this week?
S172	What calls to worship and trust do you see?	What do these psalms say about God’s reign and care?	How could public gratitude point others to God at work or home?	What brief line of praise will you speak each day this week?
S173	What commitments and confessions appear?	How do these psalms model remembering God’s works?	What commitment do you need to renew with God?	What step will you take to keep it this week (time, reminder, partner)?
S174	What patterns of rescue and thanks recur?	What does fearing the Lord look like in daily choices?	Where have you seen God rescue you recently?	Whom will you thank or encourage because of it this week?
S175	What themes of praise and trust stand out?	How does God lift the humble and help the needy?	Where do you need humility in visibility or success?	What simple act of thanks will you offer today?
S176	Which lines about God’s word moved you most?	What do you see about Scripture’s value for life?	How could you weave Scripture into your day?	What one practice (read, memorize, reflect) will you start this week?
S177	What pilgrim songs or refrains caught your ear?	What do they say about steadfast love?	What journey are you on that needs God’s help?	What short prayer will you pray along the way each day this week?
S178	What raw emotions and praises appear together?	What does this show about bringing your whole heart to God?	Where do you need to bring strong feelings into prayer?	What honest prayer step will you take this week?
S179	What reasons to praise fill these closing psalms?	What do you notice about who praises and how?	How could praise reshape ordinary routines?	What one practice of praise will you build into your mornings this week?
S180	What contrasts between wisdom and folly stand out?	What value do you see in listening and correction here?	Where do you most need wisdom for a choice you face now?	What step will you take to seek counsel before deciding this week?
S181	Which sayings or images strike you most here?	What do they teach about wise vs. foolish pathways?	Where could this wisdom correct a current habit or reaction?	What one practice will you adopt this week to walk in wisdom?
S182	What repeated themes do you notice (speech, diligence, integrity)?	What results does the text attach to these choices?	Which theme speaks most to your week at work or home?	What single change will you make to align with that theme?
S183	What contrasts about motives and outcomes stand out?	How do these proverbs expose hidden heart aims?	Where might good intentions need wiser methods?	What concrete adjustment will you make in your approach this week?
S184	What counsel or warning feels timely?	What do these sayings assume about teachability and friends?	How could wise correction strengthen one relationship or team?	What step will you take to invite or receive honest feedback?
S185	Which proverbs about work and patience stand out?	What consequences or blessings are tied to these choices?	Where do shortcuts tempt you to compromise quality?	What quality‑first step will you take on a task this week?
S186	Which proverb addresses a live temptation you face?	What wiser alternative does the text commend?	What boundary would protect that wiser choice?	What clear boundary will you set and communicate this week?
S187	What tensions about meaning, toil, and gain appear?	How does the writer assess work, pleasure, and limits?	Where are you chasing wind in your rhythms or goals?	What one simplification or limit will you implement this week?
S188	What balances the writer makes between joy and reverence?	How do limits and seasons frame wise living here?	Where do you need humble enjoyment instead of control?	What small practice of reverent enjoyment will you schedule this week?
S189	What pictures of love, desire, and commitment emerge?	What boundaries and honors appear around love?	How might these shape speech and conduct in dating or marriage?	What one honoring action will you practice in words or time this week?
S190	Which charges and hopes are named?	What does God desire from worship and justice here?	Where could ritual be replacing righteousness in your world?	What justice‑oriented step will you take for someone affected by neglect?
S191	What struck you about the vision and Isaiah’s response?	What does holiness and cleansing produce in a messenger?	Where do you sense a call that scares you?	What simple ‘here am I—send me’ step will you take this week?
S192	What warnings and promises stand out?	What traits mark the promised reign described here?	Where do you long for this kind of rule in life or city?	What act of hope‑shaped obedience will you do this week?
S193	Which nations are addressed and for what reasons?	What patterns of pride and harm are judged?	Where do you see similar roots in today’s systems or hearts?	What one intercession or integrity act will you take in your sphere?
