SegmentID	Audience	Q1	Q2	Q3	Q4
S024	Family	Where did the people complain and where did God provide?	What does this say about gratitude and trust?	How can we practice thankfulness each day?	What will we thank God for tonight?
S025	Family	Which command stood out to you today?	What do these reveal about loving God and people?	How would our home look if we lived these well?	Which one will we focus on this week?
S026	Family	What kinds of rules did you hear?	What do they show about fairness and care?	Where can we be fair with others this week?	What fair action will we choose today?
S027	Family	What details did you notice about God’s tent?	What does that show about God dwelling with His people?	How can we make space for God at home?	What small worship habit will we try?
S028	Family	What jobs did the priests have?	What does holy living look like here?	Where do we need good boundaries at home?	What boundary will we set kindly this week?
S029	Family	What new instructions stood out today?	What do they teach about prayer and rest?	Where do we need quiet time with God?	When will we set a short quiet time?
S030	Family	What went wrong while Moses was away?	What do we learn about idols and mercy?	What things try to take God’s first place for us?	What will we put down to put God first?
S031	Family	How did the people respond to the plan?	What do we see about generosity and skill?	Where can we offer our time or talents?	What task will we each do this week?
S032	Family	What showed the work was finished?	What does God’s glory mean for the people?	How can we honor God in ordinary places?	What simple worship will we do at home?
S033	Family	What offerings did you hear about?	What do they teach about sin and thanks?	How can we say sorry and thank you to God?	What honest prayer will we say today?
S034	Family	What other offerings were added?	What do they show about daily life with God?	Where can we turn routine into worship?	What daily moment will we give to God?
S035	Family	What steps prepared the priests to serve?	What does this teach about getting ready to serve?	How can we prepare our hearts to serve others?	What small prep will we do before serving?
S036	Family	What differences were explained?	What values about health and holiness appear?	How can we care for body and soul this week?	What healthy habit will we practice?
S037	Family	What careful patterns did you hear?	What does attention to detail teach?	Where do small choices shape our family life?	What small good choice will we repeat?
S038	Family	What pictures of forgiveness stood out?	What do they teach about God making a way?	How do forgiven people treat others?	Who will we forgive or ask forgiveness from?
S039	Family	What commands did God give His people?	What do they show about living differently for God?	Where is God asking us to be different kindly?	What change will we practice this week?
S040	Family	What was expected from leaders here?	What does this show about example and care?	Where do we lead by example at home or school?	What example will we set this week?
S041	Family	What special days did you hear about?	What do they teach about remembering together?	What family rhythm helps us remember God?	What reminder will we set for this week?
S042	Family	What rests and releases were described?	What do they show about trust and renewal?	Where do we need rest or to forgive a debt?	What reset will we try this week?
S043	Family	What choices and results were compared?	What does this teach about wise paths?	Where do our choices lead us right now?	What wise choice will we make today?
S044	Family	Why might the people be counted here?	What does this show about order and purpose?	Where do we need a plan to serve well?	What organizing step will we take this week?
S045	Family	What special role did the Levites have?	What does set-apart service look like?	Where can we serve others with care?	What service will we offer this week?
S046	Family	What practices of dedication stood out?	What do they show about living under God’s blessing?	What habit could we dedicate to God this week?	What will we dedicate together in prayer?
S047	Family	What celebrations and preparations happened?	What do we learn about starting well with God?	Where do we need to prepare before we start?	What first step will we take to prepare?
S048	Family	Where did you hear complaints and where care?	What does this show about trust and contentment?	When do we start to complain easily?	What thank you will we say instead this week?
S049	Family	What reports did the people bring back?	What is the difference between fear and faith here?	Where is fear shrinking our view of God?	What faith step will we take this week?
S050	Family	What started the rebellion in this story?	What does this teach about pride and humility?	Where do we resist guidance that helps us grow?	What humble step will we choose today?
S051	Family	What wins and helps did God give?	What does this show about care in hard places?	Where have we seen small wins lately?	What thanks will we give for them?
S052	Family	What tensions did you hear in Balaam’s heart?	What does this teach about motives and truth?	Where do mixed motives pull us off track?	What clear honest step will we take?
S053	Family	What seemed new in this counting?	What does this say about being ready to serve?	How can we help someone take their place?	Who will we encourage this week?
S054	Family	What commitments did people make to God?	What do vows teach about words and actions?	Where do we need to match words with deeds?	What promise will we keep carefully this week?
S055	Family	What lessons came from travels and battles?	What do we learn about guidance and patience?	Where do we need steady patience at home?	What steady step will we repeat each day?
S056	Family	What plans and borders were set up?	What do they teach about wisdom and safety?	Where do we need clear boundaries right now?	What boundary will we set kindly today?
S057	Family	What memories were retold in this section?	What does remembering teach about faith and identity?	What story of God’s help can we share?	When will we share it this week?
S058	Family	What calls to listen did you notice?	What does this say about hearing and doing?	Where do we need to act on what we know?	What small obedience will we do today?
S059	Family	What big themes of the covenant appeared?	What do they show about love and loyalty?	How can covenant love shape our family life?	What act of loyal love will we do?
S060	Family	What goals of obedience were described?	What does witness look like in this passage?	Where could our choices point others to God?	What witness will we live out this week?
S081	Family	Should Jephthah have kept his promise?	Why think before we promise?	Where do our words run ahead of wisdom?	What careful speaking habit will we practice?
S082	Family	How did someone so strong become so weak?	Can our strengths get us in trouble?	Where are we strong yet vulnerable?	What safeguard will we put in place?
S083	Family	Did anyone follow God's rules?	What happens when families have no rules?	Where do we see "everyone does what they want"?	What truth will guide us this week?
S084	Family	Why did such bad things happen?	How can we protect people who need help?	Where can we protect someone vulnerable?	What careful action will we take?
S085	Family	Who showed the most kindness?	Why does being loyal matter so much?	Where could loyal kindness help someone we know?	What kind action will we do this week?
S086	Family	Did God really talk to a boy?	How can we hear God too?	Where do we sense God nudging us to listen?	When will we be quiet and listen this week?
S087	Family	Why did they want to be like other nations?	Is it okay to be different from others?	Where do we feel pressure to fit in?	What trusting choice will we make instead?
S088	Family	Why was Saul hiding when they picked him?	How did he change after becoming king?	Where could humility help us lead better?	What humble practice will we try this week?
S089	Family	Why didn't Saul wait for Samuel?	What happens when we rush ahead?	Where do we rush instead of waiting wisely?	What pause will we build into our day?
S090	Family	Why did God pick the youngest son?	Does God see differently than people?	Where do appearances trick us?	What heart habit will we practice this week?
S091	Family	How did David beat someone so big?	Where does courage like that come from?	Where do we face a big challenge?	What step of faith will we take this week?
S092	Family	How did Jonathan and David stay friends?	What makes a friendship last?	Where can we be loyal friends under pressure?	What kind action will we do for a friend?
S093	Family	How did David stay safe?	Why is it hard to make good choices when scared?	Where do we need wisdom when stressed?	What wise step will we take before reacting?
S094	Family	Why didn't David hurt Saul when he could?	Is getting even ever good?	Where could restraint help at home or school?	What gentle response will we choose this week?
S095	Family	Why did Saul visit the witch?	What happens when we look for quick fixes?	Where are we tempted to take shortcuts?	What practice will help us seek God first?
S096	Family	Why was David sad when Saul died?	Should we be sad when mean people die?	Where do we need space to be sad and honest?	What simple prayer of lament will we say?
S097	Family	Did David wait a long time to be king?	Why does God make us wait sometimes?	Where are we waiting for God's timing?	What patient habit will we keep this week?
S098	Family	What special promise did God make David?	Do God's promises last forever?	Where do promises give us hope today?	What promise of God will we repeat this week?
S099	Family	How did David celebrate his victories?	Who gets credit when we win?	Where can we give God credit for wins?	What thanks will we give after a win this week?
S100	Family	How did David mess up so badly?	Do small wrongs lead to big problems?	Where could small wrongs grow bigger?	What guardrail will we set as a family?
S101	Family	How did Absalom turn people against David?	Why do people use sweet words to get power?	Where do we see these hurts around us?	What peacemaking step will we take?
S102	Family	Did Absalom listen to good advice?	How do we know which advice to follow?	Whose wise voice should we hear this week?	What step will we take to ask for advice?
S103	Family	Could David forgive what happened?	How do families heal after fights?	Where do we need repair in a relationship?	What first step toward repair will we take?
S104	Family	How did David's story end?	What makes a good ending to life?	Where do we need to finish something faithfully?	What finish-well step will we take this week?
S105	Family	How did Solomon become the new king?	Was it peaceful or messy?	Where are we starting something new?	What first step of wisdom will we take?
S106	Family	What did Solomon ask God for?	Why was his wish so good?	Where do we need discernment right now?	What daily habit will help us grow in wisdom?
S107	Family	How beautiful was God's temple?	Why make it so fancy?	Where can we do careful, quality work?	What quality step will we take on a task?
S108	Family	What happened when the temple opened?	How did God show He was there?	How can we dedicate a space or time to God?	What short prayer of dedication will we pray?
S109	Family	What went wrong with Solomon?	How did he lose his way?	Where could comfort pull us off course?	What course correction will we make today?
S110	Family	Why did the kingdom split in two?	What happens when leaders won't listen?	Where do stubborn words hurt our home?	What listening step will we practice this week?
S111	Family	Did any kings stay good?	Why did so many turn bad?	What patterns do we want in our family?	What good pattern will we begin today?
S112	Family	How brave was Elijah?	Could we be that bold for God?	Where do we face mixed loyalties?	What faithful choice will we make this week?
S113	Family	Why was Elijah so tired and sad?	How did God help him feel better?	Where do we feel tired or afraid?	What rest or prayer step will we take?
S114	Family	Was it fair what happened to Naboth?	Who stands up for what's right?	Where can we stand up kindly for what's right?	What careful truth will we speak this week?
S115	Family	Should they have teamed up together?	How do friends influence us?	Who influences us most right now?	What boundary or choice will keep us wise?
S116	Family	Which miracle story did you like best?	How does God help regular people?	Who near us needs quiet help?	What simple help will we give this week?
S117	Family	Did God help people from other countries?	Does God love everyone?	Who is outside our usual circle?	What welcome step will we take toward them?
S118	Family	Did Jehu go too far?	Can being excited for God be bad?	Where do we need zeal with wisdom and love?	What focused good step will we take?
S119	Family	How did baby Joash survive?	Who kept him safe?	What good thing should we protect right now?	What safeguard will we put in place?
S120	Family	Why did kings only half-obey?	Is doing half the job enough?	Where do we stop short of good?	What completion step will we take this week?
S121	Family	Why did Israel disappear as a nation?	How do people slowly drift from God?	Where do lesser loves pull our hearts?	What re-centering step will we take today?
S122	Family	How did Hezekiah's prayer save the city?	Does prayer really change things?	Where are we under pressure now?	What prayer will we pray before acting?
S123	Family	How did Josiah become so different from his dad?	Can people really change?	Where do we need a fresh start?	What first step toward change will we take?
S124	Family	Why didn't they listen to the warnings?	What happens when we ignore good advice?	Where are we ignoring wise advice?	What listening change will we make this week?
S125	Family	Why list all these names?	How do families pass on faith?	Who passed faith to us?	How will we thank or honor them?
S126	Family	Did everyone have a special job?	How does everyone matter to God?	Where do we fit in our community's work?	What part will each of us play this week?
S127	Family	Did you hear things we've heard before?	Why tell the same stories again?	How does belonging shape our choices?	Who will we encourage for faithfulness?
S128	Family	Can you be sad and hopeful together?	How do we handle big changes?	Where are we between an ending and a beginning?	What anchor practice will keep us steady?
S129	Family	Why did David dance so wildly?	Should worship be quiet or loud?	How can reverence and joy meet in our home?	What worship habit will we practice?
S130	Family	Who helped David win so much?	Should we take credit for our wins?	Where can gratitude replace self-credit?	What praise will we give after work well done?
S131	Family	Why was counting the people wrong?	Can we do wrong things for good reasons?	Where do we need to admit wrong and adjust?	What correction step will we take this week?
S132	Family	Why organize everything so carefully?	Does God care about organization?	Where could better structure help us?	What simple system will we set up?
S133	Family	How did they divide up all the work?	Why share responsibilities?	Where should we ask for help to do better?	What team step will we take this week?
S134	Family	How did they get everything they needed?	Why did people give so much?	Where do we need partners to build good things?	What clear ask will we make this week?
S135	Family	What happened when they dedicated the temple?	Have we ever felt God's presence like that?	How can we dedicate our work to God?	What simple prayer will we offer today?
S136	Family	What did Solomon accomplish?	Can success be dangerous?	How will we keep worship above success?	What practice will keep our hearts centered?
S137	Family	Did Rehoboam listen to wise people?	Why ignore good advice?	Where have we ignored good advice?	What listening habit will we practice first?
S138	Family	Which king was better?	How did they trust God in scary times?	Where can we rely on God instead of panic?	What prayer-first step will we take?
S139	Family	Should they have teamed up with bad kings?	Who should we partner with?	Where should we pray before we plan?	What first prayer will start our plan?
S140	Family	How did God save the royal family?	Who protected what was important?	What good has God trusted us to guard?	What protective step will we take?
S141	Family	Why did good kings go bad?	How does being good at something become pride?	Where could pride creep into our strengths?	What humble safeguard will we set?
S142	Family	How did Hezekiah clean up such a mess?	Can one person make that big a difference?	Where do we need to renew a good habit?	What renewal step will we take this week?
S143	Family	Did God really forgive Manasseh?	Can the worst people change?	Where do we need hope that change is possible?	What first step toward change will we take?
S144	Family	How did finding God's book change everything?	What happens when we really listen to Scripture?	Where could Scripture re-center our week?	When will we read and respond each day?
S145	Family	Why go back to a broken city?	Is it worth rebuilding hard things?	Where do we need to rebuild something good?	What first brick will we lay this week?
S146	Family	Why were people mean to the builders?	Why do people discourage good work?	Where are we discouraged while doing good?	What steady step will we take despite pushback?
S147	Family	What made Ezra such a good teacher?	Is knowing God's word enough?	How can we set our hearts to God's word?	What small plan will we start this week?
S148	Family	Why did everyone confess together?	Should we admit wrongs out loud?	Where do we need honest attention to a habit?	What clear turn back will we make?
S149	Family	Why did Nehemiah care about a faraway city?	What makes us care about problems?	Where do we sense a burden to own?	What first move will we make in prayer?
S150	Family	How did they keep building when scared?	Can we work when things are hard?	Where do distractions pull us off good work?	What focus step will we take this week?
S151	Family	Why did they cry then celebrate?	Can we be sad and happy at once?	What rhythm helps our hearts after stress?	What rhythm will we begin this week?
S152	Family	Why promise things in front of everyone?	Do promises help us do better?	Where do we need support to keep good habits?	What accountability step will we set up?
S153	Family	How did a Jewish girl become queen?	Was God working behind the scenes?	Where can our place help others now?	What step will we take to serve here?
S154	Family	Was Esther brave enough?	When should we speak up even if scared?	Where might we need to speak up kindly?	What respectful step will we take this week?
S155	Family	Why did bad things happen to good Job?	Is it okay to be angry with God?	Where do we need room to bring pain to God?	What simple prayer will we say together?
S156	Family	Were Job's friends good friends?	How can we help sad friends?	How can we be better friends to the hurting?	What gentle action will we take for someone?
S157	Family	Why won't Job give up?	Can we ask God hard questions?	Where are we holding on without full answers?	What small trust step will we take today?
S158	Family	Why won't God answer Job's questions?	What if God doesn't explain everything?	Where do we long for fairness now?	What honest request will we bring to God?
S159	Family	Is Job right or wrong?	When should we stop talking?	Where do we need to check our motives?	What next step will we take after reflection?
S160	Family	Does Elihu's speech help Job?	Who should we listen to for correction?	Where could we welcome correction?	What listening step will we practice this week?
S161	Family	Did God's speech surprise you?	Is God too big for us to understand?	Where can we trust God without full answers?	What act of trust will we choose this week?
S162	Family	Which psalm sounds like your prayer?	Do these old songs still work today?	How do these touch our choices at home?	What prayer or verse will we carry this week?
S163	Family	Can we complain to God like this?	Is it okay to tell God we're upset?	Where do we need help this week?	What one-sentence prayer will we pray?
S164	Family	Is God really like a shepherd?	Which picture of God do you like best?	How will we practice trust in a situation now?	What verse will we keep on a note card?
S165	Family	Why both happy and sad psalms?	Can we be scared and still trust God?	What fear do we need to name before God?	What step of praise will we take today?
S166	Family	What does it mean to thirst for God?	How do we find God when He seems far?	Where do we feel dry or discouraged?	What simple practice will help us seek God?
S167	Family	Should we get back at mean people?	Why let God handle our enemies?	Where are we tempted to strike back?	What trusting response will we choose instead?
S168	Family	Is God the boss of everything?	Should we pray for our leaders?	Who can we pray for in leadership?	What short prayer will we offer this week?
S169	Family	Why do bad people seem to win?	Is life fair?	Where does comparison steal our joy?	What gratitude step will we take today?
S170	Family	Which Bible story should we never forget?	Why tell the same stories over and over?	What story of God's help can we pass on?	Who will we tell and when this week?
S171	Family	Why so many singing psalms?	Does God like it when we sing?	Where do we want to sense God in daily life?	What small practice will help us draw near?
S172	Family	Should we worship quietly or loudly?	How does God want us to worship?	How could praise point others to God?	What short praise line will we repeat this week?
S173	Family	Should we make promises to God?	How do we keep our promises?	What commitment do we need to renew?	What step will help us keep it this week?
S174	Family	When has God helped our family?	Do we remember to say thanks?	Where did God help us recently?	Who will we thank or encourage because of it?
S175	Family	Do we ask God for more than we thank Him?	Why be humble when things are good?	Where do we need humility when praised?	What simple thanks will we offer today?
S176	Family	Why is this psalm so long?	Do we love God's word this much?	How can we weave Scripture into our day?	What practice will we start together?
S177	Family	Why sing songs while traveling?	Does singing help hard journeys?	What journey needs God's help now?	What short prayer will we pray along the way?
S178	Family	Can we tell God we're mad?	How honest should our prayers be?	Where do we need to bring big feelings to prayer?	What honest step will we take with God?
S179	Family	Does everything really praise God?	What if we praised God all day?	How could praise shape our routines?	What one way will we practice praise this week?
S180	Family	Who is the wisest in our family?	How do people become wise?	Where do we most need wisdom now?	What step will we take to seek counsel this week?
S181	Family	Which saying sounds familiar?	Why do wise words help us remember?	Where do we need this wisdom right now?	What step will we take to walk wisely this week?
S182	Family	Do our words help or hurt more?	How can words be so powerful?	Where do our words need more care?	What speaking habit will we practice this week?
S183	Family	Which saying fits our family?	Do little choices really matter?	Where do our habits guide our path?	What small good habit will we start today?
S184	Family	Who corrects us when we're wrong?	Why don't we like being corrected?	Where do we need honest feedback?	Who will we invite to speak into our life?
S185	Family	Should we work like ants?	What's the difference between rest and lazy?	Where do we need steady effort this week?	What daily step will we repeat together?
S186	Family	Which warning do we need most?	How do rules keep us safe?	Where do we face that temptation now?	What boundary will we keep this week?
S187	Family	Why work if everything ends?	What makes life worth living?	Where do we chase things that don't satisfy?	What practice will help us enjoy God's gifts wisely?
S188	Family	Is it okay to enjoy life?	Can we have fun and still honor God?	How could reverence shape our plans this week?	What simple joy will we receive with thanks?
S189	Family	Why is this love poem in the Bible?	What does God think about marriage?	How can we show respect in our home?	What boundary or habit will help us honor others?
S190	Family	Does God care more about church or kindness?	Can we pray and be mean to others?	Where must justice and worship meet in us?	What act of kindness or fairness will we do?
S191	Family	Why did Isaiah say "send me"?	Are we ready when God calls?	How does God's call meet our weakness?	What yes to God will we give this week?
S192	Family	What will the special child be like?	Why do we need this promised king?	Where do we long for that kind of peace?	How will we live under that hope today?
S193	Family	Does God judge other countries too?	Is God the boss of everyone?	Where do we see pride or cruelty today?	What prayer or action for justice will we take?
S194	Family	What things do people trust instead of God?	What are our family's false securities?	Where are we tempted by false security?	What will we trust God with this week?
S195	Family	Can we hope when things look bad?	Is God still in charge of hard times?	Where do we need hope in hard news?	What faithful step will we take today?
S196	Family	Why do strong people forget God?	When are we too confident?	Where do we rely on our own strength?	How will we depend on God this week?
S197	Family	What will God's future be like?	Why tell us about the future?	Where do we need courage now?	What step will show our trust in that promise?
S198	Family	Why did the good king make bad choices?	Does being successful make us forget God?	Where could success make us drift?	What humble guard will we set this week?
S199	Family	Is God bigger than our fears?	What scares us most?	Where do we feel weak or afraid now?	What truth from here will we hold to?
S200	Family	What makes God's servant special?	How is God's leader different?	Where do we need gentle justice and healing?	What response of trust will we offer today?
S201	Family	Can God use bad rulers for good?	Is God in charge even when bad things happen?	Where do we struggle to see God at work?	What patient trust will we practice this week?
S202	Family	What jobs does God's servant have?	Can weak people do big things for God?	Where do we feel called to serve others?	What small servant step will we take today?
S203	Family	Why did God's servant suffer?	Did Jesus have to hurt for us?	How does this shape our view of Jesus?	How will we respond to this grace this week?
S204	Family	What kind of fasting does God like?	Is giving up food enough?	Where could we practice true fasting now?	What act of mercy will we choose this week?
S205	Family	Will God give up on people?	How patient is God with us?	Where do we need that hope for the future?	What step will align us with God's future today?
S206	Family	Was Jeremiah scared of his job?	Why did God pick someone so young?	Where do we fear speaking truth?	What brave, kind step will we take this week?
S207	Family	What made God so upset?	Do countries still disobey God?	Where are similar roots in our world?	What turn-back step will we take today?
S208	Family	Can we go to church and still be wrong?	Is pretend worship worse than no worship?	Where do we act without heart?	What honest change will we seek this week?
S209	Family	Why do people break promises to God?	What happens when we don't listen?	Where do we resist God's ways?	What practice will help us return to Him?
S210	Family	Does God like punishing people?	How bad is sin really?	Where do we downplay hurtful choices?	What wise limit will we set this week?
S211	Family	Can we always come back to God?	What does coming back look like?	Where do we see God opening a door?	What step will we take through that door?
S212	Family	How did Jeremiah keep going?	What helps us when everyone's against us?	Where do we need courage to keep going?	What support will we seek this week?
S213	Family	What makes good leaders?	Are we all leaders somewhere?	Where do we lead in small ways?	What leader habit will we practice this week?
S214	Family	How do we know who's telling truth?	Why do people like happy lies?	Where do we need discernment in voices we hear?	What test of truth will we use this week?
S215	Family	How did they stay hopeful so far from home?	What keeps hope alive?	Where do we need hope in a long season?	What patient practice will we adopt this week?
S216	Family	Why buy a field when everything's falling apart?	How do we show hope?	Where can we act now toward a future good?	What small investment will we make this week?
S217	Family	Which family kept their promises better?	Why do some people keep promises?	Where do we need to keep our word?	What promise will we honor this week?
S218	Family	How did Jeremiah keep being good?	What helps when we're tired of trying?	Where are we tired of doing good?	What perseverance step will we take today?
S219	Family	Did the city really fall?	Do warnings come true?	Where do we see the cost of ignoring warnings?	What wise change will we make now?
S220	Family	Why go where God said not to go?	Do we run the wrong way when scared?	Where do fear-based choices tempt us?	What trust choice will we make this week?
S221	Family	Does God judge all countries?	Is God fair to everyone?	Where do we long to see justice today?	What prayer for justice will we offer?
S222	Family	Why do strong countries fall?	What makes nations weak?	Where do we see the same roots of harm?	What step will we take toward repair?
S223	Family	Do bullies always lose in the end?	What happens to proud people?	Where do we trust in image or status?	What humble action will we choose today?
S224	Family	Was Jeremiah's job worth it?	Should we warn even if no one listens?	What lesson will we keep from this book?	What practice will help us remember it?
S225	Family	Can we be this sad with God?	Is it okay to cry about sin?	Where do we need to lament honestly?	What prayer of lament will we bring to God?
S226	Family	Is there hope when everything's broken?	Where is God when we're sad?	Where do we need hope to rise again?	What daily mercy reminder will we keep?
S227	Family	What would God's glory look like?	How big is God really?	How does awe change our daily life?	What practice will help us live with awe?
S228	Family	Why did Ezekiel do such strange things?	Do actions teach better than words?	Where do we need a wake-up call today?	What change will we make before day's end?
S229	Family	Did God really leave the temple?	What makes God go away?	Where do we crowd out God in daily life?	What will we remove to make room for Him?
S230	Family	Why don't people listen to warnings?	Are we stubborn too?	Where do warnings fail to move us?	What step of humble listening will we take?
S231	Family	Why use such strong pictures?	Is being unfaithful to God that bad?	Where do we treat promises too lightly?	What faithful act will we choose this week?
S232	Family	Does God prefer justice or mercy?	Can we have both?	Where do we need both truth and kindness?	What wise blend will we practice this week?
S233	Family	Do we make the same mistakes as grandparents?	How do we stop bad patterns?	Where are we repeating old mistakes?	What new path will we take starting today?
S234	Family	Why was God so upset with His people?	How does God want us to be loyal to Him?	Where do we see broken trust today?	What faithful repair can we begin this week?
S235	Family	Does God care about how all countries act?	Why does God judge bullies?	Where must we resist looking down on others?	What respectful action will we take today?
S236	Family	Why was trusting Egypt a bad idea?	Who should we trust when we're scared?	Where do we rely on fragile supports?	What stronger trust will we practice this week?
S237	Family	What does a watchman do?	Why is it important to warn people?	Where should we speak up with care and truth?	What careful word will we share this week?
S238	Family	What does a good shepherd do?	How is God like a good shepherd to us?	Where do we need that shepherding now?	What step will we take to receive His care?
S239	Family	What happened to the dry bones?	Is anything too broken for God to fix?	Where do we hope to see renewal?	What act of hope will we practice this week?
S240	Family	Why measure everything so carefully?	What does this perfect temple show us about what heaven is like?	Where do boundaries help us meet with God?	What boundary will we honor this week?
S241	Family	Did God come back to the temple?	Will God return if we push Him away?	Where do we sense God rebuilding our hearts?	What worship response will we bring this week?
S242	Family	Why all these special times and rules?	Does God care about our schedules?	Which rhythm could shape our week well?	What time will we guard for God this week?
S243	Family	Where does the special river go?	Can water really bring dead things to life?	Where do we long to see healing flow?	What step will we take toward that healing?
S244	Family	Why choose vegetables over king's food?	Is being different sometimes better?	Where do we need resolve in a hard place?	What faithful practice will we keep this week?
S245	Family	Which rescue story did you like better?	How does God humble proud people?	Where do we need courage to stand firm?	What bold yet kind step will we take?
S246	Family	Would we pray even if it was illegal?	Is doing right worth getting in trouble?	Where could integrity cost us something?	What choice will we make to stay faithful?
S247	Family	Why are these visions so scary?	What do they mean for us?	Where do we need endurance and hope?	What practice will help us endure this week?
S248	Family	Are there really battles we can't see?	Who fights for us in heaven?	Where do we feel outmatched or anxious?	What prayer will we keep in those moments?
S249	Family	Why love someone who keeps leaving?	Does God's love ever give up?	Where do we return to lesser loves?	What turn back to God will we make today?
S250	Family	How many times will God forgive?	Can we go too far to come back?	Where do we need to come home to God?	What practical step will we take today?
S251	Family	What is the Day of the Lord?	Should we be afraid of it?	Where do we need a full-heart return to God?	What act of repentance will we practice now?
S252	Family	Does God care more about church or kindness?	Can we pray and be mean?	Who near us needs us to do what is right?	What just action will we take this week?
S253	Family	Is there hope after punishment?	Does God stay angry forever?	Where do we need both truth and hope today?	What step will we take to seek both together?
S254	Family	Should we be happy when mean people lose?	Is it okay to want enemies to fail?	Where are we tempted to cheer others' falls?	What humble compassion will we show instead?
S255	Family	Why did Jonah run away?	Can God use people who don't want to help?	Who is hard for us to show mercy to?	What merciful step will we take this week?
S256	Family	What does God really want from us?	Is it hard or simple?	Where can we do justice and love mercy now?	What humble step will we take this week?
S257	Family	Can we trust God in the dark?	Where is hope when we can't see it?	Where do we need that hope today?	What prayer of hope will we pray this week?
S258	Family	Will God stop the bullies?	Do bad people ever lose?	Where do we long for God to set things right?	What faithful trust will we practice today?
S259	Family	Can we argue with God?	What if God doesn't answer our questions?	Where will we choose faith when answers delay?	What practice will help us rejoice while we wait?
S260	Family	Who are God's special people?	Are we part of God's family?	Where do we need humility and courage together?	What seeking step will we take this week?
S261	Family	Why was rebuilding the temple so important?	What needs rebuilding in our family?	Where have we delayed good work we should do?	What first step will we take to rebuild?
S262	Family	Do small starts count?	Can our little work matter to God?	Where do we need fresh courage to serve?	What act of service will we do this week?
S263	Family	Is being religious enough?	Can we pray and still be mean?	Where can we practice truth and peace now?	What peacemaking choice will we make today?
S264	Family	What will our special king be like?	Why do we need God's chosen king?	Where do we welcome Jesus' gentle rule?	What step of allegiance will we take this week?
S265	Family	Is God asking us any questions?	Are we giving God our best?	Where do we need a fresh heart in worship?	What change will we make before next week?
S266	Family	Would we have followed Jesus?	What makes His kingdom special?	Where do we need to repent and follow Him?	What first step of obedience will we take?
S267	Family	Which of Jesus' teachings is hardest?	Can anyone really live this way?	Where do we need to live this at home?	What practice will we start this week?
S268	Family	Which miracle amazes you most?	Why didn't everyone believe?	Where do we need to trust Jesus' authority now?	What act of trust will we take this week?
S269	Family	Which story helps you understand God's kingdom?	Why did Jesus tell so many stories?	Where do we see small beginnings with big promise?	What faithful seed will we plant this week?
S270	Family	Why did church leaders dislike Jesus?	Does doing right make enemies?	Where is it hard to follow Jesus right now?	What step will we take to follow anyway?
