School Questions				
				
				
segment code	question1	question2	question3	question4
S071	What factors contribute to the setback here?	What do you learn about honesty, sin, and community impact?	Where could hidden choices be hurting your group?	What step of confession or repair will you take?
S072	What progress and challenges are recorded here?	What does steady obedience look like over time?	Where do you need steady follow‑through at school?	What next step will you schedule this week?
S073	What boundaries and portions are described?	What does this teach about order and fairness?	Where do clear roles help teams work well?	What role will you embrace and serve in this week?
S074	What patterns continue in assigning the land?	What values guide the distribution you see?	Where can you practice fairness when resources are limited?	What fair choice will you make today?
S075	What remaining needs or gaps are addressed here?	What does this show about finishing tasks well?	Where do you leave things half‑done in school life?	What will you complete before the week ends?
S076	What reminders or warnings does Joshua give?	What do they teach about loyalty and compromise?	Where are you tempted to drift from your convictions?	What guardrail will you set this week?
S077	What cycle do you see repeating here?	What does this teach about the heart and habits?	Where do you notice this cycle in your own choices?	What early step will you take to break the cycle?
S078	What leaders or moments stood out to you?	What do these stories suggest about unlikely instruments of God?	Where might God use your unique strengths?	What step of service will you take this week?
S079	What doubts and signs appear in Gideon’s story?	What does God’s patience teach you about growing faith?	Where do you need courage in weakness at school?	What small act of courage will you take today?
S080	What warning signs do you see in Abimelech’s rise?	What do you learn about ambition and accountability?	Where could power plays harm your group or team?	What accountable step will you add this week?
S081	What stands out about vows and words here?	What does this reveal about rash promises and wisdom?	Where do your words run ahead of wisdom?	What careful speaking habit will you practice?
S082	What strengths and weaknesses do you notice in Samson?	What does this teach about calling and compromise?	Where are you strong yet vulnerable at school?	What safeguard will you put in place this week?
S083	What scenes show moral confusion in this section?	What does this reveal about life without a true guide?	Where do you see “everyone does what they want” at school?	What guiding truth will you follow this week?
S084	What further examples deepen the concern here?	What does this say about community without justice?	Where can you be a voice for what is right and kind?	What protective step will you take for someone vulnerable?
S085	What choices by Ruth and Boaz stand out to you?	What do you learn about loyalty, courage, and kindness?	Where could loyal kindness change a situation at school?	What loyal action will you take this week?
S086	What signs of God’s presence appear in Samuel’s life?	What do you learn about listening and responding to God?	Where do you sense a nudge to listen more closely?	What listening practice will you try this week?
S087	What reasons do the people give for wanting a king?	What does this reveal about fear, comparison, and trust?	Where do you feel pressure to fit in rather than trust God?	What counter‑cultural choice will you make this week?
S088	What moments mark Saul’s rise to leadership?	What do you notice about humility, signs, and calling?	Where could humility shape your leadership among peers?	What humble practice will you choose this week?
S089	What choices show folly in Saul’s leadership?	What lessons do you see about impatience and pressure?	Where do time pressure and image drive your decisions?	What wise pause will you build into your week?
S090	What contrasts appear between Saul and David here?	What does this teach about God seeing the heart?	Where do outward appearances mislead at school?	What heart habit will you cultivate this week?
S091	Which moments of courage or fear stood out in this reading?	What does this story suggest about what God values in a leader?	Where do you face a challenge that feels oversized at school?	What step of faith will you take toward that challenge this week?
S092	What tensions do you notice between Saul, David, and Jonathan?	What do you learn here about loyalty, jealousy, and trust?	Where could you practice loyal friendship under pressure?	What boundary or habit will help you guard your heart this week?
S093	What choices does David make while under pressure?	What do those choices show about fear, wisdom, and trust?	Where do you need wisdom when you feel stressed or cornered?	What wise step will you take before reacting this week?
S094	Where do you see chances for revenge or payback in this passage?	What does David’s restraint reveal about honor and patience?	Where could restraint break a harmful cycle in your context?	What gracious response will you choose if provoked this week?
S095	What contrasts do you see between Saul’s fear and David’s response?	What does this teach about seeking God versus quick fixes?	Where are you tempted to take a shortcut instead of seeking God?	What practice will help you seek God first this week?
S096	What emotions and actions mark David’s lament?	What does lament here teach about grief and leadership?	Where do you need space to grieve or honor someone well?	What simple step will you take to practice honest lament?
S097	What steps lead from waiting to David’s kingship?	What do you notice about patience, timing, and promise?	Where is waiting shaping your character right now?	What faithful habit will you keep while you wait?
S098	Which promises or themes stand out most to you?	What does this covenant reveal about God’s kingdom and grace?	How does promise shape your hope during school pressures?	What hope practice will you carry into this week?
S099	Which victories or breakthroughs are highlighted here?	What safeguards keep success humble and God‑centered?	How will you handle success without losing humility?	What gratitude step will you take after a win this week?
S100	What early warning signs lead toward failure here?	What does this passage show about sin, confession, and consequence?	Where could small compromises grow into bigger harm?	What guardrail will you set in place this week?
S101	What seeds of division begin to show up in this section?	What do you learn about flattery, ambition, and influence?	Where do you see similar tactics shaping student life?	What peacemaking step could you take this week?
S102	Which decisions push the conflict forward here?	What does this reveal about counsel, pride, and listening?	Whose voices most influence your choices right now?	What wise counsel will you seek before you decide?
S103	What actions and attitudes lead toward restoration?	What do you notice about mercy, justice, and unity here?	Where do you sense a need for restoration in a group you’re in?	What step toward repair will you take this week?
S104	What highs and lows mark this period of David’s life?	What does this suggest about finishing with humility and trust?	Where do end‑of‑season choices matter most for you?	What finish‑well practice will you adopt this week?
S105	What challenges surround this leadership transition?	What does Solomon’s start show about wisdom and dependence?	Where are you facing a new responsibility or role?	What first step will you take to seek wisdom for it?
S106	What request defines Solomon’s beginning?	What does God’s response show about what He values?	Where do you most need discernment this month?	What daily habit will you use to grow in wisdom?
S107	What effort and care go into this building work?	What does excellence in worship and service look like here?	Where could excellence honor God in your studies or service?	What quality step will you take on a task this week?
S108	What themes in prayer and dedication stand out to you?	What does God’s presence mean for the community here?	How could you dedicate a space or routine to God at school?	What short prayer of dedication will you pray this week?
S109	What turns Solomon’s heart away over time?	What does this warn about drift, desire, and divided loyalty?	Where might comfort or success be pulling you off course?	What course correction will you make today?
S110	What choices and words trigger the division here?	What does this show about listening, pride, and consequences?	Where does stubbornness divide teams or friends around you?	What listening step will you take before speaking this week?
S111	What repeated patterns do you notice across these reigns?	What do you learn about legacy, compromise, and reform?	Which patterns do you want to avoid in your own influence?	What practice will you adopt to shape a better legacy?
S112	What confrontations and moments of faith stand out?	What does this reveal about loyalty to the true God?	Where do you face competing loyalties or mixed motives?	What step will you take to choose faithfulness this week?
S113	What highs and lows does Elijah experience here?	What does God provide in Elijah’s weakness and fear?	Where do you feel depleted or discouraged right now?	What rest or obedience step will you take this week?
S114	What injustices or abuses of power appear here?	What does God say about truth, justice, and authority?	Where do you see misuse of power in your context?	What courageous truth‑telling step will you take wisely?
S115	Which alliances and choices stand out to you?	What do they reveal about partnership, risk, and trust?	Where do your alliances shape your walk with God?	What boundary will you set for healthier influence?
S116	Which personal stories or needs moved you most?	What do you learn about compassion, faith, and God’s care?	Who near you needs quiet help or encouragement?	What simple act of care will you offer this week?
S117	What international scenes or tensions are highlighted?	What does this show about God’s reach among the nations?	Who is outside your usual circle at school or home?	What step will you take toward them this week?
S118	What judgments and reforms unfold in this passage?	What do you learn about zeal, obedience, and motives?	Where do you need zeal guided by wisdom and love?	What focused step will you take this week?
S119	What threats and rescues shape this period?	What does this say about courage, protection, and covenant?	Where can you protect something good that’s at risk?	What safeguard step will you take this week?
S120	What mixed records of leadership do you see here?	What patterns of partial obedience show up across kings?	Where do you tend to stop short of what is good?	What completion step will you take this week?
S121	What choices lead toward weakening and downfall?	What warnings stand out about idolatry and drift?	Where do lesser loves pull your heart away from God?	What re‑centering step will you take today?
S122	What reforms, prayers, or miracles stand out here?	What shows trust in God under threat and pressure?	Where are you facing pressure that tests your trust?	What prayerful step will you take before acting?
S123	What contrasts do you see among these kings?	What do you learn about repentance, renewal, and legacy?	Where do you need a clean start with God?	What repentance step will you take this week?
S124	Which warnings were ignored leading to loss?	What does this show about sowing, reaping, and stubborn hearts?	Where are you ignoring wise counsel right now?	What listening change will you make this week?
S125	Which names or short notes catch your eye?	What does this long memory suggest about identity and promise?	Who has passed faith to you across time or family?	What thanks will you express to a mentor or family member?
S126	What roles or tribes are highlighted here?	What do you notice about calling, skill, and service?	Where do you fit within your community’s shared work?	What part will you play faithfully this week?
S127	Which repeating details or patterns did you notice?	What does this suggest about God’s steady faithfulness?	How does belonging shape the choices you make?	Whom will you honor or encourage for their faithfulness?
S128	What transitions and responses unfold in this reading?	What do you learn about grief, honor, and hope together?	Where are you living between an ending and a beginning?	What anchor practice will keep you steady this week?
S129	What reactions to God’s presence appear in this scene?	What do reverence and joy look like side by side here?	How could reverence and joy meet in your routines?	What worship habit will you practice this week?
S130	What promises and victories are highlighted here?	What do they show about God’s initiative and help?	Where could gratitude replace self‑credit in your life?	What praise step will you take after work well done?
S131	What mistake and mercy appear in this passage?	What do you learn about confession, wisdom, and planning?	Where do you need to admit wrong and adjust your plan?	What correction step will you take this week?
S132	What organization and roles are put in place here?	What does this show about shared service and order?	Where could better structure help your group or team?	What one system will you set up or simplify?
S133	Which roles and responsibilities stand out to you?	What do you learn about stewardship, trust, and teamwork?	Where can you delegate or ask for help to do better?	What team step will you take this week?
S134	What resources and partnerships are gathered here?	What does this say about vision, planning, and teamwork?	Where do you need partners to build something good?	What clear ask will you make of a teammate this week?
S135	What moments of dedication or worship moved you most?	What does this reveal about God’s faithfulness to promises?	How can you dedicate your work or gifts to God this week?	What simple dedication prayer will you offer?
S136	Which achievements and projects are recorded here?	What priorities and pitfalls come with accomplishment?	How will you keep worship above achievement at school?	What practice will keep your heart centered this week?
S137	What counsel choices and outcomes do you see?	What does this show about pride, humility, and listening?	Where have you dismissed wise advice too quickly?	What listening practice will you use before you decide?
S138	What battles, reforms, or prayers stand out here?	What do you learn about reliance on God in crisis?	Where could you rely on God rather than panic?	What prayer‑first step will you take in pressure?
S139	What alliances and prayers mark this reign?	What does seeking God before battle teach you?	Where do you need to pray before you plan?	What first prayer will start your planning this week?
S140	What dangers and rescues shape this stretch of history?	What does this show about God preserving His purposes?	What good thing has God entrusted to you to guard?	What protective step will you take this week?
S141	What patterns do you see among these four kings?	What warning do you notice about pride and drift?	Where could pride creep into your strengths at school?	What humble safeguard will you put in place?
S142	Which reforms and renewals stand out to you?	What does this reveal about trust, worship, and courage?	Where do you need to renew a good habit with God?	What renewal step will you take this week?
S143	What swings between faith and evil appear here?	What do you learn about judgment, repentance, and mercy?	Where do you need hope that change is still possible?	What first step toward change will you take?
S144	What discoveries and responses stand out in Josiah’s time?	What does this show about Scripture reshaping a people?	Where could Scripture re‑center your week at school?	What time will you set to read and respond each day?
S145	What first steps are taken as people return home?	What does rebuilding worship teach after a long setback?	Where do you need to rebuild something that matters?	What first brick will you lay this week?
S146	What kinds of opposition show up in this passage?	What keeps the people steady through resistance?	Where do you face discouragement while doing good?	What steady step will you take despite pushback?
S147	What focus does Ezra bring to the people?	What does setting the heart to study and do teach you?	How could you set your heart to learn and live God’s word?	What small plan will you start this week?
S148	What problem is confronted and how do people respond?	What does real repentance look like in community?	Where do compromises need honest attention in your life?	What clear step will you take to turn back to God?
S149	What burden and plan form in Nehemiah’s heart?	What does prayerful planning teach for hard tasks?	Where do you sense a burden you need to own?	What first move will you make with prayer and wisdom?
S150	What tactics of opposition do you notice?	What helps the people stay focused on the work?	Where do distractions pull you off good work at school?	What focus step will you take to keep building?
S151	What practices restore identity and joy here?	What do confession and celebration do together?	What rhythms help restore your heart after stress?	What rhythm will you build into this week?
S152	What dedication actions and commitments stand out?	What do you learn about accountability and worship?	Where do you need support to keep good commitments?	What accountability step will you set up this week?
S153	What unlikely openings or turns do you see?	What does this suggest about providence and purpose?	Where might your position help you bless others?	What step will you take to serve where you are?
S154	What risks and decisions shape the rescue here?	What does this teach about courage and timing?	Where might you need to speak up for someone?	What respectful step will you take to use your voice?
S155	What losses and responses mark Job’s early story?	What do you learn about honest lament and faith?	Where do you need room to bring pain to God?	What simple prayer will you say in your own words?
S156	What advice do Job’s friends give, and what are its limits?	What does this show about quick answers and real comfort?	How can you be a better friend to someone hurting?	What gentle action will you take to support them?
S157	What accusations or claims appear in this section?	What do you notice about Job’s hope and confusion together?	Where are you holding on without full understanding?	What small trust step will you take today?
S158	What themes of justice and protest show up here?	What does Job claim about integrity before God?	Where do you long for fairness or clarity right now?	What honest request will you bring to God this week?
S159	What final defenses or self‑examination does Job make?	What does this teach about searching the heart with God?	Where do you need to examine motives and actions?	What next step will you take after reflection?
S160	What new angles or corrections does Elihu offer?	What does he say about God’s greatness and teaching?	Where could you welcome fresh correction or insight?	What listening step will you practice this week?
S161	What images of God’s power and wisdom moved you?	What does humility before mystery produce in Job?	Where can you trust God without full answers?	What act of trust will you choose this week?
S162	Which lines from these psalms stayed with you?	What portraits of the righteous and the wicked appear?	How do these portraits intersect with your choices at school?	What practice of meditation or prayer will you try?
S163	What cries or praises stood out in these psalms?	What do you learn about God’s nearness in trouble?	Where do you need help or strength this week?	What one‑sentence prayer will you bring to God?
S164	What images of God (shepherd, rock, shield) spoke to you?	What do these psalms say about guidance and trust?	How will you practice trust in a school situation?	What verse will you carry with you this week?
S165	What testimonies or laments did you notice here?	What do you learn about fear, refuge, and praise?	What fear do you need to name before God today?	What step of praise or seeking help will you take?
S166	What repeated refrains or longings did you hear?	What do these psalms say about thirsting for God?	Where do you feel spiritually dry or discouraged?	What simple practice will help you seek God this week?
S167	What contrasts between plotting and trusting stood out?	What responses of faith appear in hard times?	Where are you tempted to retaliate or despair?	What trusting response will you choose instead?
S168	What pictures of creation and blessing caught your eye?	What do you learn about justice, mercy, and the King?	How will you pray for leaders and communities this week?	What short prayer will you offer for your city or school?
S169	What struggles with envy or doubt appear here?	What shifts when the psalmist enters God’s presence?	Where does comparison steal your joy at school?	What gratitude step will you take to reframe your view?
S170	What history or warnings are retold in these psalms?	What lessons are we meant to remember and pass on?	What story of God’s help could you share with someone younger?	Who will you tell and when this week?
S171	What songs of longing and praise stood out to you?	What do you notice about God’s faithfulness to His promises?	Where do you long to sense God’s presence in daily life?	What small practice will help you draw near this week?
S172	What calls to worship and trust did you see?	What do these psalms say about God’s reign and care?	How could public praise point others to God at school?	What brief line of praise will you repeat this week?
S173	What commitments and confessions appear here?	How do these psalms model remembering God’s works?	What commitment do you need to renew with God?	What step will you take to keep it this week?
S174	What patterns of rescue and thanks recur here?	What does fearing the Lord look like in daily choices?	Where have you seen God rescue you recently?	Who will you thank or encourage because of it?
S175	What themes of praise and trust did you notice?	How does God lift the humble and help the needy here?	Where do you need humility in success or visibility?	What simple act of thanks will you offer today?
S176	What lines about God’s word stood out most to you?	What do you see about the value of Scripture for life?	How could you weave Scripture into your day at school?	What one practice will you start (read, memorize, reflect)?
S177	What pilgrim songs or thankful refrains caught your ear?	What do you learn about God’s steadfast love?	What journey are you on that needs God’s help?	What short prayer will you pray along the way?
S178	What raw emotions and praises appear together here?	What does this show about bringing your whole heart to God?	Where do you need to bring strong feelings into prayer?	What honest step will you take with God this week?
S179	What reasons to praise fill these closing psalms?	What do you notice about who praises and how they praise?	How could praise shape your ordinary routines?	What one way will you practice praise this week?
S180	What contrasts between wisdom and folly stood out?	What value do you see in listening and correction?	Where do you most need wisdom for a choice you face?	What step will you take to seek counsel this week?
S181	Which sayings or images stood out to you?	What do they teach about wisdom and folly?	Where do you need this wisdom right now?	What step will you take to walk wisely this week?
S182	What themes repeat in these proverbs?	What do they say about words and choices?	Where do your words need more care?	What speaking habit will you practice this week?
S183	Which contrasts were most striking to you?	What do they reveal about the heart?	Where do your habits shape your path?	What small habit will you start today?
S184	What counsel or warnings stood out?	What do they show about friendship and correction?	Where do you need honest feedback?	Who will you invite to speak truth to you?
S185	What do these proverbs value most?	What do they teach about diligence and laziness?	Where do you need steady effort at school?	What daily step will you repeat this week?
S186	Which proverb best fits your life today?	What wisdom does it offer about temptation?	Where do you face that temptation now?	What boundary will you set this week?
S187	What struggles with meaning did you notice?	What does the writer say about work and pleasure?	Where do you chase what does not satisfy?	What practice will help you enjoy God’s gifts wisely?
S188	What tensions appear between joy and limits?	What does it mean here to fear God?	How could reverence shape your plans this week?	What simple joy will you receive with thanks?
S189	What picture of love and commitment do you see?	What does the poem value in relationships?	How can you honor others in words and actions?	What boundary or practice will protect love well?
S190	What charges and hopes are named here?	What does God seek from His people?	Where must justice and worship meet in you?	What act of justice will you do this week?
S191	What scenes in the vision struck you?	What does holy mean in this chapter?	How does God’s call meet your weakness?	What yes to God will you offer this week?
S192	What warnings and promises do you hear?	What does Emmanuel’s reign look like?	Where do you long for that kind of rule?	How will you live under that hope today?
S193	Which nations are addressed, and why?	What does God judge among the nations?	Where do you see pride or cruelty today?	What prayer or action will you take for justice?
S194	What patterns repeat across these prophecies?	What do idols promise and fail to deliver?	Where are you tempted by false securities?	What will you trust God with this week?
S195	What signs of judgment and salvation appear?	What does God’s sovereignty mean here?	Where do you need hope in hard news?	What faithful step will you take today?
S196	What themes continue from the last section?	What do you learn about reliance and pride?	Where do you lean on your own strength?	How will you depend on God this week?
S197	What future hope is described here?	What does God promise to the redeemed?	Where do you need that courage now?	What step expresses trust in that promise?
S198	What deliverance and failures are recorded?	What do they teach about trust and pride?	Where could success lead you to drift?	What guard will keep you humble this week?
S199	What images of God’s power stand out?	How are idols contrasted with the Lord?	Where do you feel weak or afraid now?	What truth from here will you cling to?
S200	What marks the Servant’s mission in this text?	What contrasts appear between God and idols?	Where do you need gentle justice and healing?	What response of trust will you offer today?
S201	What does God declare about Cyrus and history?	What does this show about God’s control?	Where do you struggle to see God at work?	What patient trust will you practice this week?
S202	What roles of the Servant are highlighted?	What hope is offered to the weary?	Where do you feel called to serve others?	What small servant step will you take today?
S203	What suffering and victory are described here?	What does this say about God’s way to save?	How does this shape your view of Jesus?	How will you respond to this grace this week?
S204	What kind of fasting and justice does God desire?	What promises follow humble repentance?	Where could you practice true fasting now?	What act of justice or mercy will you choose?
S205	What pictures of judgment and renewal appear?	What hope is offered to God’s servants?	Where do you need that hope for the future?	What step aligns you with God’s future today?
S206	What parts of Jeremiah’s call stand out?	What does God promise to him?	Where do you fear speaking truth?	What obedience step will you take this week?
S207	What sins are named in this section?	What does God warn will happen?	Where are similar roots in your context?	What turn back step will you take today?
S208	What false trusts are exposed here?	What does true worship require?	Where do you perform without heart?	What honest change will you seek this week?
S209	What covenant failures are described?	What does this show about stubborn hearts?	Where do you resist God’s ways?	What practice will help you return?
S210	What images show God’s reluctance to judge?	What does this teach about sin’s seriousness?	Where do you downplay harmful choices?	What wise limit will you set this week?
S211	What signs of mercy appear in these chapters?	What conditions are given for return?	Where do you see God opening a door today?	What step will you take through that door?
S212	What opposition does Jeremiah face?	How does he respond under pressure?	Where do you need courage to keep speaking?	What support will you seek this week?
S213	What leaders are addressed and why?	What does God require of leaders?	Where do you lead, even in small ways?	What leader habit will you practice this week?
S214	What conflict over truth appears here?	What marks a true versus false message?	Where do you need discernment in voices you hear?	What test of truth will you use this week?
S215	What hope is offered to the exiles?	What does the new covenant promise?	Where do you need hope in a long season?	What patient practice will you adopt this week?
S216	What action does Jeremiah take by faith?	What does this show about hope during crisis?	Where can you act now toward a future good?	What small investment will you make this week?
S217	What covenants are compared in this passage?	What faithfulness is commended here?	Where do you need to keep your word?	What promise will you honor this week?
S218	What trials continue for Jeremiah?	What keeps him faithful under pressure?	Where do you feel tired of doing good?	What perseverance step will you take today?
S219	What scenes mark the fall of Jerusalem?	What do you learn about consequences and grief?	Where do you see the cost of ignoring warnings?	What wise change will you make now?
