Segment	Q1	Q2	Q3	Q4
S189	What themes of contentment appear in Proverbs 19?	What does this teach about patience and peace?	Where do you feel restless or discontent?	What simple gratitude will you practice today?
S190	What ideas about justice and fairness stand out in Proverbs 21?	What do they show about integrity and God’s heart for justice?	Where do you see unfairness among students or groups?	What will you do to promote fairness in your school community?
S191	What observations about generosity appear in Proverbs 22?	What do they reveal about kindness and stewardship?	Where can you give more freely of your time or encouragement?	What generous action will you take before the week ends?
S192	What reflections on seasons of life appear in Ecclesiastes 3?	What does this reveal about timing and perspective?	Where do you need patience for the season you’re in now?	What will you focus on learning in this season of life?
S193	What insights about meaning or purpose appear in Ecclesiastes 5?	What do they teach about contentment and simplicity?	Where do you chase after things that don’t last?	What lasting value will you pursue this month?
S194	What emotions or lessons appear in Ecclesiastes 9 about joy and work?	What does this show about finding purpose in everyday tasks?	Where could you find joy in small daily things at school?	What will you do to bring more joy into your routine this week?
S195	What themes about wisdom and youth appear in Ecclesiastes 11–12?	What does this reveal about remembering your Creator early in life?	Where do you want to build good habits that last?	What step will you take today to grow your faith while you’re young?
S196	What emotions or imagery stand out in Song of Songs 2 or 8?	What does this teach about love and mutual respect?	Where can you practice kindness and respect in your friendships?	What respectful action will you take in your relationships today?
S197	What descriptions of beauty and value stand out in Song of Songs?	What does this reveal about seeing others as God’s creation?	Where can you appreciate someone’s inner qualities instead of appearances?	What will you do to affirm someone’s worth this week?
S198	What emotions or desires appear in Song of Songs?	What does this show about commitment and care?	Where do you see loyalty or care shown in healthy ways around you?	What will you do to strengthen loyalty in your friendships?
S199	What reflections on life and trust appear in Psalm 90?	What does this reveal about wisdom and using time well?	Where could you use your time more purposefully?	What habit will you start to number your days wisely?
S200	What overall lessons about worship and wisdom stand out across these books?	What do they reveal about a balanced, God-centered life?	Where do you want to grow in both faith and understanding?	What change will you make to live wisely and joyfully this year?
