Segment	Q1	Q2	Q3	Q4
S117	What injustice or wrong stood out most?	What do we learn about fairness and truth?	Who might we need to stand up for with courage?	What just action will we take this week?
S118	What act of faith in dark times encouraged you?	What does this reveal about hope that lasts?	Where has our family seen light in hard seasons?	What thankful story will we share this week?
S119	What sign of decline or rebellion did you notice?	How do you think God felt about His people’s choices?	Where do we sometimes ignore what’s right?	What can help us realign our hearts today?
S120	What moment of warning came before judgment?	What does this say about God’s justice and mercy?	When have we been warned before something went wrong?	What reminder will keep us alert and wise?
S121	What lessons came from Israel’s defeat or exile?	How might people have felt losing their home?	When have we had to start again or face loss?	What new beginning will we trust God with?
S122	Who stayed faithful in captivity?	What keeps faith strong when far from home?	Where do we need courage to stay faithful under pressure?	What prayer will help us stand firm?
S123	What sign of hope appeared in the darkness?	What does this show about God never giving up?	Where do we see small signs of hope today?	What will we thank God for that gives us hope?
S124	What final lesson comes from the fall of the kings?	What do we learn about pride and dependence on God?	Where do we need humility before Him?	What simple prayer will express that humility?
S125	What story of worship or organization stood out?	What do we learn about serving with excellence?	Where can our family be more intentional in service?	What act of gratitude will we show together?
S126	What legacy did David pass on?	What do we learn about preparing the next generation?	How can we pass faith and kindness to others?	What memory or habit will we hand down?
S127	What preparation was made for the Temple?	How does careful planning honor God?	Where can we prepare better for something that matters?	What step will we take to plan with purpose?
S128	What moment of dedication or joy stood out?	How do you think it felt to celebrate God’s presence?	When has our family celebrated God’s goodness?	What reason can we celebrate together now?
S129	What warning did Solomon receive?	What do we learn about success and faithfulness?	Where could comfort or success pull us away from God?	What reminder will keep our hearts true?
S130	What moment of failure or repentance touched you?	How did people show their hearts turning back to God?	When have we needed a restart as a family?	What prayer will mark a fresh start today?
S131	What stories of kings repeating mistakes stood out?	What pattern do you see forming?	Where do we repeat habits we wish we didn’t?	What small change will we commit to together?
S132	What renewal or reform encouraged you most?	What does it teach about second chances?	Where do we see God renewing us after mistakes?	What will we rebuild in our hearts this week?
S133	What example of worship inspires you?	What feelings do you think the people had?	When has worship brought peace to our home?	What song or prayer will we share this week?
S134	What choices led people away from God again?	What do we learn about forgetfulness and mercy?	Where do we forget God’s help quickly?	What daily reminder will we set to remember Him?
S135	Who showed courage to reform or restore what was right?	What does courage for change look like?	Where do we need courage to fix something wrong?	What brave act will we take as a family?
S136	What reforms or renewals stood out?	What do they teach about God’s patience?	Where can we give someone a second chance?	Who will we forgive and encourage this week?
S137	What prayer or confession brought healing?	What do we learn about honesty before God?	Where do we need to be honest with Him or each other?	What confession or apology will bring peace?
S138	What act of leadership or teamwork stood out?	How did people share responsibility?	Where can our family share responsibility better?	What task will we divide and complete together?
S139	What did the Temple symbolize for the people?	What does it tell us about God wanting to dwell among us?	How can we make our home a welcoming place for God?	What atmosphere will we create in our home this week?
S140	What failure of leadership is recorded here?	What does it teach about pride and influence?	Where do we need to lead with humility and grace?	What example will we set for others to follow?
S141	What story of rescue or help inspired you?	What does it reveal about God’s care for His people?	Where have we seen God’s help in our family?	What memory of help will we talk about tonight?
S142	What lesson came through judgment and mercy?	What balance do we see in God’s love and justice?	Where do we need both truth and grace at home?	What will help us balance those better?
S143	What event or prophecy gave people hope again?	How did that hope feel after hardship?	When have we felt hope return after a hard season?	What action will help us hold onto hope?
S144	What do we notice about endings and new beginnings here?	What does it mean that God restores what’s broken?	Where do we see Him bringing new beginnings now?	What prayer will thank Him for fresh starts?
S145	What rebuilding theme encouraged you most?	What do we learn about teamwork and perseverance?	Where does our family need to rebuild something together?	What will we start rebuilding this week?
S146	What role did worship play in rebuilding hearts?	What feelings do you think filled those moments?	When has worship restored peace for us?	What worship act will we share together this week?
S147	What challenge did God’s people face returning home?	What does this show about courage after exile?	Where do we feel nervous about new beginnings?	What brave prayer or action will we take?
S148	What obstacles came against the rebuilding?	How did God help them stay focused?	Where do distractions slow us down?	What focus will we keep this week?
S149	What did Nehemiah’s example teach about teamwork?	What feelings did people share as they worked?	Where can we build or serve together joyfully?	What joint task will we finish this week?
S150	What celebration followed the rebuilding?	What does this show about gratitude and worship?	When can we pause to celebrate God’s goodness?	What family celebration will we plan to thank Him?
S151	What brave moment stood out in Esther’s story?	What does this reveal about trusting God’s timing?	When have we needed courage to do what’s right?	What step of faith will we take together?
S152	Who supported Esther in her decision?	What does this show about teamwork and faith?	Where can we encourage someone facing a challenge?	What words of support will we share this week?
S153	How did God work behind the scenes?	What do we learn about His quiet guidance?	Where might God be at work even when we can’t see it?	What prayer of trust can we pray together?
S154	What emotion or question stood out from Job’s story?	What does this teach about honest faith?	When have we asked God hard questions?	What helps us keep trusting when life feels unfair?
S155	How did Job’s friends respond to his pain?	What do we learn about listening and comfort?	When has someone comforted us (or needed our comfort)?	What will we do to show care this week?
S156	What truth did Job hold onto about God?	What keeps faith strong during trials?	Where do we need to hold on to hope?	What verse or truth will we remind each other of?
S157	What words or images in this psalm caught your heart?	What do they show about God’s greatness or goodness?	When do you feel closest to God in worship?	What will help us praise Him in daily life?
S158	What cry or complaint do you hear in this psalm?	What does it show about being honest with God?	When have we felt like crying out too?	What can we say to God when we’re upset or confused?
S159	What picture of God’s care stands out (shepherd, refuge, etc.)?	What does that image mean to you personally?	Where do we feel safe because of God’s care?	What phrase will remind us that God protects us?
S160	What praise or thanks fills this psalm?	What do we learn about gratitude and joy?	Where have we seen God’s goodness lately?	What will we thank Him for together tonight?
S161	What challenge or fear appears here?	What does the writer do with those fears?	Where do we need to bring our fears to God?	What small prayer will we say when we feel afraid?
S162	What image of creation or nature appears in this psalm?	What does it tell us about God’s power and beauty?	Where do we see His creation and feel awe?	What simple way will we show gratitude for it?
S163	What emotion runs through this psalm?	What does it reveal about trusting God in every mood?	Where do we hide our feelings instead of praying?	What honest prayer will we offer this week?
S164	What words of praise lifted your heart?	What do they show about worship as a family?	When have we worshiped together and felt joy?	What song or prayer could we share again soon?
S165	What moment of rescue or help is described?	What does it show about God hearing us?	Where have we seen answers to prayer recently?	What will we celebrate in gratitude tonight?
S166	What kind of peace or rest does this psalm bring?	What do we learn about resting in God’s presence?	Where do we need peace at home?	What peaceful routine will we create together?
S167	What struggle or doubt is voiced here?	What helps the writer move from doubt to faith?	Where do we need renewed faith?	What can we say to remind ourselves of God’s faithfulness?
S168	What promise or hope is celebrated here?	What do we learn about remembering God’s works?	What family memory shows His faithfulness?	What story will we retell to keep our faith strong?
S169	What does this psalm teach about forgiveness?	How do you think the writer felt after being forgiven?	Where do we need to say sorry or forgive?	What step toward peace will we take today?
S170	What comfort or strength do we hear?	What do we learn about God’s presence in trouble?	When has He comforted our family before?	What will we do to remember that comfort?
S171	What song or prayer repeats a simple truth?	Why is repetition important in worship?	Which phrase could become our family’s reminder of truth?	What short prayer will we keep this week?
S172	What image of protection stands out?	How does that picture help your heart feel safe?	When have you felt God watching over us?	What verse will we keep as our reminder of His care?
S173	What emotion or question runs through this psalm?	What do we learn about bringing our hearts honestly to God?	When have we been upset but found peace through prayer?	What helps us talk to God even when we don’t understand?
S174	What part of this psalm makes you want to praise?	What do we learn about joy and celebration?	When has joy filled our home?	What will we celebrate together this week?
S175	What truth about God’s love stands out here?	What do we learn about love that never fails?	Where do we need to remember that love?	What phrase will remind us of it each day?
S176	What picture of creation or worship fills this psalm?	What does that reveal about God’s greatness?	Where do we see His glory around us?	What will we do to honor Him today?
S177	What feeling or theme repeats here?	What pattern of praise or trust do you notice?	Where can we repeat truth when we feel weak?	What short prayer will we make our own?
S178	What description of God’s Word stands out?	What does it teach about guidance and wisdom?	Where do we need His Word to light our way?	What verse will we remember together?
S179	What moment of repentance or renewal is described?	What does it teach about coming back to God?	Where do we need renewal at home?	What will we pray as our ‘start fresh’ prayer?
S180	What call to worship or shout of praise stood out?	How does joy in worship affect the heart?	When do we feel most thankful as a family?	What will we do to express joy this week?
S181	What promise or truth about God’s faithfulness is clear?	What feelings come when you think of His promises kept?	Where have we seen promises fulfilled?	What promise will we hold on to today?
S182	What ending theme do you notice in the Psalms?	What lasting truth do we take from these songs?	Where will we keep choosing to praise?	What will we say or do when life is hard?
S183	What wise saying or image stood out?	What does it teach about choices and consequences?	Where do we need wisdom right now?	What wise step will we take today?
S184	What advice from Proverbs felt personal?	What does it reveal about character and words?	Where can we use gentle words this week?	What will we say or not say to build peace?
S185	What contrast between wisdom and foolishness stood out?	What do we learn about learning from mistakes?	Where have we learned something the hard way?	What lesson will we remember next time?
S186	What proverb made you smile or think deeply?	What do we see about joy and humility?	Where can joy or humility help our home?	What action will we take to show it?
S187	What image from Proverbs felt practical for family life?	What daily situation reminds you of that truth?	Where could we apply it this week?	What change will we practice together?
S188	What warning or caution stood out?	What does it teach about self-control?	Where do we need to pause before reacting?	What simple boundary will help us stay wise?
S189	What pattern of diligence or laziness is shown?	What does this teach about stewardship?	Where do we need teamwork to stay responsible?	What shared task will we finish faithfully?
S190	What wise person or behavior is praised?	What quality makes that person stand out?	Who around us shows that same quality?	How will we thank or imitate them?
S191	What lesson about friendship do you see?	What does Proverbs teach about good friends?	Where can we be better friends to others?	What friendship act will we show this week?
S192	What reflection in Ecclesiastes feels real or relatable?	What does it show about life’s meaning?	Where do we chase things that don’t last?	What will we focus on that truly matters?
S193	What truth about time and seasons stood out?	What does it remind you about God’s timing?	Where do we need patience or perspective?	What phrase will we hold onto in this season?
S194	What feelings or insights come from life’s ups and downs?	What do we learn about contentment and gratitude?	Where can we be more content together?	What thankful habit will we start?
S195	What short saying from Proverbs sums up wisdom?	What does it mean in your own words?	Where can we live that out practically?	What example will we set this week?
S196	What line or image from Song of Songs stood out?	What do we learn about love and appreciation?	Where can we show love through words or actions?	What loving thing will we do or say today?
S197	What emotions or celebration of love appear here?	What does this teach about valuing relationships?	Where can we show affection or gratitude?	What will we express to someone we love?
S198	What tone of beauty or delight fills this passage?	What does it reveal about joy in relationships?	Where can we celebrate love in simple ways?	What moment will we plan to enjoy together?
S199	What truth about lasting love or faithfulness stood out?	What do we learn about love’s strength?	Where do we need to be faithful or forgiving?	What act of faithfulness will we show?
S200	What lesson from wisdom or love sums up this section?	What does it teach about living well before God?	Where will we apply wisdom or love this week?	What prayer will we say as our response?
S201	What picture or phrase from the prophet stood out?	What does it reveal about God’s justice and mercy?	Where do we see unfairness or need in our world or home?	What simple act of justice or kindness will we practice?
S202	What warning or comfort did you notice?	What do we learn about God’s heart when people suffer?	Where could we be more compassionate as a family?	Who will we encourage with words or help?
S203	What promise of hope is given here?	How does God offer strength to tired people?	Where do we feel worn out or discouraged?	What reminder or prayer will help us keep going?
S204	What idols or false trusts are challenged?	Why do people lean on things that cannot save?	What competes for our attention or trust?	What will we set aside so God is first?
S205	What vision of God’s holiness do you see?	What does holiness mean for everyday family life?	Where do we need clean hands and honest hearts?	What truthful step will we take today?
S206	What picture of peace (shalom) appears?	What does God want for communities and families?	Where could peace grow in our home?	What peacemaking action will we try?
S207	Which ‘fear not’ moment encouraged you?	What does this show about God’s presence with us?	Where are we afraid right now?	What short prayer will we say when fear shows up?
S208	What servant-hearted example did you notice?	What do we learn about serving with humility?	Where can we serve quietly without being noticed?	What hidden service will we offer together?
S209	What injustice did the prophet confront?	Why does God care about the poor and vulnerable?	Where can we share or speak up for someone?	What specific share/give/serve step will we take?
S210	What promise of a Redeemer or Savior appears?	How does that promise bring joy or courage?	Where do we need that hope as a family?	What will we thank God for right now?
S211	What picture of new creation or renewal stood out?	What does God’s future make you feel?	Where do we long for renewal?	What small start can we make toward renewal?
S212	What call to ‘listen’ or ‘return’ did you notice?	What does returning to God look like for us?	Where are we drifting?	What turn-back step will we take together?
S213	What contrast between pride and humility appears?	How does humility invite God’s help?	Where do we need a softer heart?	What humble action will we choose?
S214	What truth about God’s compassion moved you?	How does God hold both truth and grace?	Where do we need both honesty and kindness?	What balanced response will we practice?
S215	What sign or symbol was striking?	What message did it carry to God’s people?	What sign might remind our family of God’s care?	What reminder will we place in our home?
S216	What call to worship appears in the prophecy?	How does worship shape our character?	Where could worship replace worry?	What worship habit will we keep this week?
S217	What ‘light in darkness’ image did you hear?	What does God’s light do for people?	Where do we need light in our attitudes or choices?	What truth will we speak into that place?
S218	What promise for weary people gave you hope?	How does God renew strength?	Where do we need God’s strength?	What will we do to wait on Him today?
S219	What warning about empty religion appeared?	What kind of worship does God desire?	Where can we match our words with actions?	What action will accompany our prayer?
S220	What vision of nations or neighbors stood out?	What does God want for people who are different from us?	Where can we show welcome or respect?	What welcoming act will we take?
S221	What turning point toward exile did you notice?	What does it teach about choices and consequences?	Where do our choices create ripple effects at home?	What wise change will we make together?
S222	What promise did God give exiles about the future?	How does hope grow in hard places?	Where do we need to plant hope where we live?	What hopeful routine will we start?
S223	What picture of a new heart or spirit spoke to you?	What does God promise to change inside us?	Where do we need a changed attitude?	What prayer will we pray for new hearts?
S224	What image (watchman, potter, shepherd, etc.) stood out?	What does it teach about God’s care and guidance?	Where have we sensed God guiding our family?	What step will we take to follow His lead?
S225	What grief or lament was expressed?	What do we learn about bringing sorrow to God?	Where do we need space to lament honestly?	What gentle practice will help us share and pray?
S226	What false promise or deception was exposed?	Why is truth-telling so important to God?	Where do we need honesty in our words or habits?	What truthful step will we take together?
S227	What hope of restoration did you hear?	How does God rebuild what sin breaks?	Where do we need restoration in our relationships?	What first step toward repair will we take?
S228	What vision from God was surprising (bones, river, throne)?	What does the vision reveal about His power?	Where do we doubt that change is possible?	What faith-filled prayer will we agree on?
S229	Who spoke truth when it was unpopular?	What does faithful witness look like?	Where might we need to speak truth kindly?	What respectful words will we choose?
S230	What shepherding image did you notice?	What do we learn about God gathering and tending people?	Where do we feel scattered or distant?	What practice will help us draw close again?
S231	What sign-acted parable or symbolic act appeared?	What message was God sending through it?	What everyday sign could remind us to trust God?	What reminder will we set today?
S232	What conflict between true and false worship stood out?	What does God desire in our worship and life?	Where are we going through motions without heart?	What will make our worship sincere?
S233	What promise of a covenant or shepherd-king encouraged you?	What does that reveal about God’s leadership?	Where do we need good leadership at home?	What leadership habit will we practice?
S234	What river/life/temple image brought hope?	How does God bring life to dry places?	Where do we feel dry or stuck?	What life-giving step will we take?
S235	What call to repent did you hear?	Why is returning to God good news?	Where is God inviting us to turn around?	What turn-back step will we name and take?
