Segment	Q1	Q2	Q3	Q4
S118	What stands out in the genealogies of Chronicles?	What do they reveal about belonging and identity in God’s plan?	How does remembering your family or faith history shape your choices?	What action will you take this week to honor those who helped you grow?
S119	What details in David’s organization of worship stand out?	What does this show about teamwork and order in serving God?	Where do you see teamwork needed in your group or class?	What cooperative step will you take this week to help your team succeed?
S120	What lessons do you notice from the plans for the temple in Chronicles?	What does this teach about preparation and excellence in serving God?	Where can you plan or prepare better before acting?	What one way will you prepare with excellence this week?
S121	What examples of leadership or organization do you see in these chapters?	What do they show about faithful stewardship and order?	Where are you responsible for leading by example?	What leadership action will you practice this week?
S122	What stands out in Solomon’s dedication of the temple?	What does his prayer teach about humility and dependence?	Where do you need to depend more on God’s help instead of your own strength?	What prayer of humility will you make this week?
S123	What patterns of faithfulness or failure do you notice among Judah’s kings?	What do these stories teach about accountability and repentance?	Where could you take responsibility for a mistake or poor choice?	What change will you make to show growth this week?
S124	What lessons do you see in the fall of Jerusalem and exile to Babylon?	What does this reveal about consequence and hope?	Where do you see brokenness that needs God’s rebuilding?	What hopeful step will you take this week to rebuild what’s broken?
S125	What emotions stand out when the people return from exile?	What does this teach about gratitude and renewal?	Where do you feel thankful for second chances in your life?	What expression of gratitude will you make this week?
S126	What challenges do the people face in rebuilding the altar and temple?	What does this reveal about perseverance and worship?	Where do you face distractions while trying to do something good?	What focused step will help you stay faithful this week?
S127	What opposition rises against the rebuilding project?	What does this show about persistence and faith under pressure?	Where do you feel discouraged or opposed when doing what’s right?	What action will you take to stay strong in your purpose this week?
S128	What motivates the people to resume work after discouragement?	What does this show about encouragement and leadership?	Who encourages you to stay on track when things are difficult?	What way will you encourage someone else to keep going this week?
S129	What role does Ezra play in teaching God’s law?	What does this reveal about learning and spiritual renewal?	Where could you spend more time learning and reflecting on Scripture?	What one study habit will you strengthen this week?
S130	What emotions and responses do you notice in the people as Ezra reads the law?	What does this show about conviction and joy in truth?	Where have you experienced joy after understanding something difficult?	What step will you take this week to apply what you’ve learned?
S131	What stands out about Nehemiah’s burden for Jerusalem?	What does this reveal about compassion and vision?	Where do you feel concern about something that needs fixing?	What action will you take this week to start making it better?
S132	What opposition does Nehemiah face while rebuilding the wall?	What does this teach about courage and perseverance?	Where do you need to stay focused even when others distract you?	What choice will you make to stay focused this week?
S133	What teamwork do you notice in the rebuilding process?	What does this reveal about cooperation and unity?	Where do you see teamwork making a difference at school?	What step will you take to build unity in your team this week?
S134	What distractions try to pull Nehemiah away from his task?	What does this show about discernment and priorities?	Where are you tempted to give up on something important?	What decision will help you stay focused this week?
S135	What dedication and celebration follow the wall’s completion?	What does this reveal about gratitude and joy after hard work?	When have you celebrated a group success recently?	What will you do to celebrate and thank God this week?
S136	What problems arise after the wall is finished?	What do these teach about keeping commitments?	Where do you find it easy to start well but hard to stay faithful?	What step will help you keep your promises this week?
S137	What reforms does Nehemiah lead among the people?	What does this reveal about integrity and leadership?	Where can you help restore honesty or fairness around you?	What act of integrity will you choose this week?
S138	What responses do the people have to renewed worship?	What does this show about joy and community?	Where do you see joy growing when people worship or serve together?	What joyful habit will you practice this week?
S139	What lessons about repentance stand out from Israel’s history?	What does this reveal about God’s mercy?	Where do you see a need to start again and make things right?	What new beginning will you start this week?
S140	What priorities do the leaders set for the community?	What does this teach about order and vision?	Where can you help your group stay organized and focused?	What organizing step will you take this week?
S141	What final commitments do the people make in Nehemiah’s story?	What does this show about devotion and accountability?	Where do you need to renew your commitment to something important?	What faithful step will you take to follow through this week?
S142	What stands out about the people’s dedication of their time and resources?	What does this reveal about generosity and stewardship?	Where could you give your time or help someone in need?	What generous action will you take this week?
S143	What emotions do you notice in the closing scenes of Nehemiah’s story?	What does this teach about perseverance and gratitude?	Where do you feel thankful for finishing something hard?	What prayer of thanks will you offer this week?
S144	What examples of worship and joy close the book of Nehemiah?	What does this show about lasting celebration and faith?	When has worship brought you joy and strength?	What joyful expression will you make this week?
S145	What leadership lessons do you see from Nehemiah’s perseverance?	What does this teach about responsibility and focus?	Where could you lead with more patience and determination?	What focused action will you take as a leader this week?
S146	What legacy does Nehemiah leave behind?	What does his story show about finishing well and trusting God?	Where do you need to stay faithful to your commitments?	What will you do this week to finish what you started?
S147	What main themes of rebuilding and renewal stand out in these chapters?	What do they reveal about hope and persistence?	Where do you see areas that need rebuilding in your life or school?	What hopeful step will you take to restore what’s broken this week?
S148	What opposition or obstacles do the people face during rebuilding?	What does this reveal about endurance and teamwork?	Where have you faced resistance while doing something good?	What step will you take to persevere through obstacles this week?
S149	What joy comes when the work is completed?	What does this teach about gratitude and unity?	When have you shared joy with others after hard work?	What celebration or gratitude will you express this week?
S150	What lasting lessons do you see in the rebuilding story?	What does this show about God’s faithfulness through change?	Where do you need to trust God in a rebuilding season?	What step will you take this week to rebuild with faith and hope?
