Segment	Q1	Q2	Q3	Q4
S319	What lessons stand out in the story of Zacchaeus?	What does this reveal about transformation and acceptance?	Where could you look beyond reputation to include someone?	What inclusive action will you take this week?
S320	What do you notice in Jesus’ entry into Jerusalem?	What does this reveal about humility and kingship?	Where could humility help you lead with gentleness?	What will you do to show leadership through humility?
S321	What stands out in the story of the Last Supper?	What does this show about remembering and serving?	Where can you show care and gratitude to those around you?	What habit of gratitude will you practice this week?
S322	What emotions or actions appear in Jesus’ prayer in Gethsemane?	What does this reveal about surrender and trust?	Where do you need to let go of control and trust God?	What will you do to rest in His plan this week?
S323	What do you notice in Jesus’ crucifixion story in Luke?	What does this reveal about forgiveness and love?	Where can you respond to hurt with forgiveness?	What prayer of love will you offer instead of anger?
S324	What happens after Jesus’ resurrection in Luke’s Gospel?	What does this show about joy and purpose?	Where can you share good news through encouragement?	What will you do to spread joy and faith in your circles?
S325	What events stand out in the coming of the Holy Spirit at Pentecost?	What does this reveal about unity and empowerment?	Where do you see teamwork and shared purpose making a difference?	What step will you take to encourage unity in your group this term?
S326	What actions do Peter and John take after receiving the Spirit?	What does this show about courage and witness?	Where can you be bold in sharing kindness or truth?	What courageous choice will you make today?
S327	What response do you notice from the early believers in Acts 2–4?	What does this reveal about community and generosity?	Where could you help build community in your classroom or group?	What generous act will strengthen your community this week?
S328	What challenges do the apostles face as the church grows?	What does this show about perseverance and faith under pressure?	Where do you see persistence paying off in your goals or friendships?	What habit will help you persevere when things get hard?
S329	What events lead to Stephen’s bold stand for his faith?	What does this reveal about conviction and courage?	Where do you need courage to speak truth kindly?	What step of conviction will you take even if it’s unpopular?
S330	What do you notice about Saul’s encounter with Jesus?	What does this reveal about transformation and grace?	Where have you seen people change through forgiveness or love?	What attitude will you change as you grow in faith?
S331	What do you notice about Saul becoming Paul and his first steps in ministry?	What does this show about calling and obedience?	Where might God be inviting you to step into something new?	What small step of obedience will you take this week?
S332	What lessons stand out in Peter’s vision and Cornelius’ faith?	What does this reveal about inclusion and openness?	Where can you be more open to people who are different from you?	What act of inclusion will you show today?
S333	What actions or choices define the early church’s teamwork?	What does this show about unity and collaboration?	Where can you be more cooperative and supportive in group projects?	What teamwork habit will you build this term?
S334	What challenges arise during Paul’s early journeys?	What does this reveal about perseverance and purpose?	Where have you faced challenges while doing something good?	What practice will help you stay committed through setbacks?
S335	What responses do people have to Paul’s preaching?	What does this show about courage and communication?	Where can you speak truth respectfully even when it’s hard?	What will you do to share your beliefs with grace and confidence?
S336	What stands out in the story of Lydia and the early Philippian believers?	What does this reveal about hospitality and community?	Where can you open your heart or time to include others?	What welcoming gesture will you make this week?
S337	What happens when Paul and Silas worship in prison?	What does this reveal about faith in difficult circumstances?	Where can gratitude replace frustration in your life right now?	What will you do to turn difficulty into praise?
S338	What do you notice in Paul’s message to the Athenians?	What does this reveal about wisdom and relevance?	Where can you share faith in a way others can relate to?	What thoughtful conversation will you have about belief this month?
S339	What lessons stand out in Paul’s perseverance through trials?	What does this reveal about resilience and hope?	Where do you need endurance to stay faithful in your commitments?	What will you do to strengthen your perseverance this season?
S340	What final encouragements appear as Acts closes?	What does this reveal about courage and ongoing mission?	Where can you continue doing good even when results are slow?	What step will you take to keep living out your mission today?
S341	What actions of faith stand out in Paul’s letters to new believers?	What do they reveal about encouragement and growth?	Where can you encourage someone in their faith journey?	What message of encouragement will you send this week?
S342	What teachings in Romans reveal about grace and righteousness?	What does this show about God’s gift and our response?	Where do you need to accept grace instead of striving for perfection?	What truth about grace will you rest in today?
S343	What lessons do you notice about unity in Paul’s letters to the Corinthians?	What does this reveal about teamwork and humility?	Where do you see division or competition harming relationships?	What step will you take to build unity and peace?
S344	What image or metaphor of the body of Christ stands out?	What does this show about purpose and cooperation?	Where can you value others’ gifts instead of comparing?	What will you do to appreciate others’ strengths this week?
S345	What lessons about love appear in 1 Corinthians 13?	What do they reveal about love as action and patience?	Where can you practice real love beyond feelings?	What will you do to show love in action today?
S346	What guidance does Paul give about serving others in Galatians or Ephesians?	What does this show about freedom and responsibility?	Where could you use your freedom to serve and not just please yourself?	What step will you take to serve with joy this week?
S347	What do you notice about joy and contentment in Philippians?	What does this reveal about attitude and gratitude?	Where could gratitude shift your mood or mindset?	What practice of joy will you keep through this term?
S348	What themes of perseverance appear in Paul’s later letters?	What do they reveal about finishing well and mentoring others?	Who has helped you grow, and how can you help someone else?	What encouragement will you give to someone younger in faith?
S349	What instructions about faith and character appear in Timothy and Titus?	What do these reveal about integrity and leadership?	Where can you model good character for others?	What action will show integrity in small things this week?
S350	What final encouragements appear in Paul’s closing words?	What do they reveal about endurance and faith?	Where do you want to remain faithful even when it’s not easy?	What lasting commitment will you renew as you look ahead?
