Segment	Q1	Q2	Q3	Q4
S080	What reactions do others have to David’s victory over Goliath?	What does this reveal about jealousy and humility?	Where can you celebrate others’ success instead of comparing?	What word of encouragement will you share with someone this week?
S081	What friendship do you notice forming between David and Jonathan?	What does their friendship show about loyalty and honesty?	Where do you see true friendship making life better at school?	What act of loyalty or honesty will you show this week?
S082	What difficult choices does David face as Saul hunts him?	What does this reveal about patience and trusting God’s timing?	Where do you feel tempted to take matters into your own hands?	What patient choice will you make instead this week?
S083	What emotions stand out when David spares Saul’s life?	What does this story teach about mercy and restraint?	Where do you have a chance to respond kindly when wronged?	What merciful response will you choose this week?
S084	What grief or strength do you see in David’s response to loss?	What does this reveal about turning to God in pain?	Where do you need to bring sadness or frustration to God honestly?	What prayer or song will you use to express your heart this week?
S085	What stands out about David’s rise to become king?	What does this teach about God’s timing and preparation?	Where do you need to trust the process instead of rushing success?	What habit will help you stay patient and faithful this week?
S086	What decisions shape David’s early rule?	What do these reveal about justice and leadership?	Where can you lead by example in your group or class?	What fair or kind choice will you make as a leader this week?
S087	What does David’s kindness to Mephibosheth show?	What does this reveal about mercy and remembering others?	Where could you show unexpected kindness to someone overlooked?	What act of kindness will you do this week?
S088	What mistakes or temptations begin to appear in David’s story?	What do these moments show about accountability and pride?	Where do you need to set boundaries to stay true to your values?	What honest decision will protect your integrity this week?
S089	What consequences does David face for his choices?	What does this teach about repentance and grace?	Where do you need to admit a mistake and seek forgiveness?	What will you do to make things right this week?
S090	What lessons do you see in how David responds after failure?	What does this reveal about humility and dependence on God?	Where do you see God offering second chances?	What thankful response will you give to God’s mercy this week?
S091	What challenges or rebellions arise during David’s later reign?	What does this show about leadership and perseverance?	Where are you tempted to give up when things get messy?	What steady step will you take to finish strong this week?
S092	What preparations does David make for the future temple?	What do these reveal about planning and devotion?	Where can you prepare now for something you hope to see later?	What forward-thinking step will you take this week?
S093	What stands out in Solomon’s early leadership?	What does his request for wisdom show about priorities?	Where could you ask God for wisdom instead of quick answers?	What wise decision will you make this week?
S094	What actions does Solomon take to build the temple?	What does this reveal about focus and excellence?	Where can you bring extra care and excellence to your work?	What one thing will you do with excellence this week?
S095	What prayer does Solomon offer at the temple dedication?	What does this teach about prayer and dependence on God?	Where do you need to invite God’s presence into your daily life?	What simple prayer will you pray regularly this week?
S096	What blessings follow Solomon’s obedience early on?	What do these blessings reveal about generosity and stewardship?	Where could you use your time or gifts to help others?	What generous action will you take this week?
S097	What begins to go wrong in Solomon’s choices later in life?	What warnings do you see about distraction and compromise?	Where are you tempted to drift away from what’s right?	What change will you make to refocus on God this week?
S098	What divisions appear in the kingdom after Solomon’s time?	What does this reveal about pride and unity?	Where do arguments or divisions weaken your group or class?	What peacemaking action will you take this week?
S099	What stands out in the story of Elijah’s courage against false prophets?	What does this reveal about faith and God’s power?	Where do you need courage to stand for what’s true?	What bold step will you take for your faith this week?
S100	What discouragement does Elijah face after his great victory?	What does this show about exhaustion and God’s care?	Where do you feel worn out or discouraged in your faith or studies?	What restful or encouraging step will help you renew your strength this week?
